Pla,ActWt,Dr,Rtg,RtgChange,Age,RC,Track,Course,Dist,Class,Daysincelastmatch,COC,No1,No2,No3,NoStarts,hrsW,hrsP,hrsNo2Per,hrsNo3Per,R10day,X1516TW,X1516T2,X1516T3,X1516T4,X1516TWper,X1516TTP,X1516TPper,X1516JW,X1516J3,X1516J4,X1516JR,X1516JWper,X1516JPper,RecencyFinish.average,Weight.Rel.,Weight.Rel.Dist
a03,123,8,50,2,4,ST,Turf,A,1400,4,28,AUS,0,2,3,13,0,0.38,0.15,0.23,1,29,29,25,28,0.08169,83,0.2338,9,9,22,298,0.0302,0.13087,0.27,2.143,3000.06
a08,133,13,60,-1,6,ST,Turf,C+3,1400,4,48,GB,1,0,1,10,0.1,0.2,0,0.1,1,25,18,20,24,0.12953,63,0.32642,17,10,23,221,0.07692,0.18552,0.26,6.929,9700.04
a01,121,5,64,2,6,HV,Turf,C,1200,3,14,IRE,1,4,2,32,0.03,0.22,0.13,0.06,2,33,28,29,33,0.1,90,0.27273,121,57,53,475,0.25474,0.53053,0.14,-3.167,-3800.04
a10,117,1,63,-3,4,ST,AWT,AWT,1200,3,14,NZ,0,0,0,4,0,0,0,0,2,49,32,32,39,0.11779,113,0.27163,0,0,2,27,0,0,-0.33,-3.917,-4700.04
a05,125,6,54,0,6,HV,Turf,A,2200,4,24,NZ,4,5,2,13,0.307692308,0.846153846,0.384615385,0.153846154,1,14,15,10,7,0.115702479,39,0.32231405,15,12,14,174,0.086206897,0.218390805,0.18,0.416666667,274083.3333
a05,129,2,56,-2,3,HV,Turf,B,1000,4,21,GB,0,0,0,8,0,0,0,0,2,24,18,13,15,0.14458,55,0.33133,0,0,0,0,0,0,-0.15,4.833,4833.333
a12,122,7,65,0,5,HV,Turf,B,1000,3,194,AUS,0,0,0,1,0,0,0,0,0,8,13,10,11,0.05405,31,0.20946,44,26,14,251,0.1753,0.42629,-0.19,-2.833,-2833.3
a12,115,9,41,-2,6,HV,Turf,B,1200,4,14,AUS,2,0,4,20,0.1,0.3,0,0.2,1,7,16,15,19,0.0303,38,0.1645,5,8,13,203,0.02463,0.0936,-0.09,-10.417,-12500.04
a09,114,6,43,-3,3,HV,Turf,C,1200,4,17,NZ,0,0,0,5,0,0,0,0,1,53,34,35,42,0.11497,122,0.26464,17,33,31,434,0.03917,0.16359,-0.24,-6.333,-7599.96
a12,119,11,46,-2,4,HV,Turf,B,1650,4,67,NZ,0,0,0,3,0,0,0,0,0,8,9,17,14,0.06299,34,0.26772,48,27,23,216,0.22222,0.53241,-0.24,-5.667,-9350
a08,130,12,82,5,4,ST,Turf,C,1000,3,32,AUS,4,3,2,15,0.27,0.6,0.2,0.13,1,46,24,32,31,0.11471,102,0.25436,14,24,29,249,0.05622,0.2249,0.38,5.357,5357.1
a09,132,12,76,-1,5,HV,Turf,C,1200,3,42,AUS,3,3,3,16,0.19,0.56,0.19,0.19,0,12,24,24,29,0.0355,60,0.17751,3,15,12,132,0.02273,0.22727,0.05,7.25,8700
a10,112,4,61,-2,6,ST,Turf,C,1200,3,22,IRE,0,1,1,21,0,0.1,0.05,0.05,1,13,21,25,21,0.05778,59,0.26222,3,4,7,156,0.01923,0.10256,0.13,-9.417,-11300.04
a12,133,14,59,-2,7,ST,Turf,C,1800,4,259,NZ,4,3,0,32,0.13,0.22,0.09,0,0,29,30,20,23,0.0736,79,0.20051,1,20,23,394,0.00254,0.12944,-0.15,10,18000
a10,115,7,83,0,4,HV,Turf,A,1650,2,17,NZ,4,2,1,14,0.29,0.5,0.14,0.07,1,20,20,11,13,0.07353,51,0.1875,8,8,24,293,0.0273,0.08191,0.17,-5.583,-9212.45
a02,125,2,71,6,5,ST,Turf,C+3,1400,3,20,NZ,2,0,1,10,0.2,0.3,0,0.1,2,17,17,14,22,0.05822,48,0.16438,28,19,14,185,0.15135,0.34595,0.15,2.286,3199.98
a09,127,9,53,1,3,HV,Turf,A,1000,4,22,AUS,0,0,1,1,0,1,0,1,1,30,24,21,26,0.11583,75,0.28958,81,48,39,354,0.22881,0.51977,0.35,2.917,2916.7
a07,117,2,61,-1,7,HV,Turf,A,1200,3,20,NZ,2,9,2,36,0.06,0.36,0.25,0.06,1,19,36,23,22,0.05322,78,0.21849,20,26,24,327,0.06116,0.24771,-0.1,-7.25,-8700
a04,126,1,79,0,5,ST,Turf,C,1600,3,18,AUS,4,4,2,22,0.181818182,0.454545455,0.181818182,0.090909091,2,9,18,13,23,0.056962025,40,0.253164557,7,4,7,126,0.055555556,0.158730159,0.19,12,193600
a08,133,8,59,-2,4,ST,Turf,C,1400,4,123,AUS,0,0,1,8,0,0.13,0,0.13,0,15,24,21,31,0.03989,60,0.15957,106,21,31,376,0.28191,0.4016,-0.14,9.571,13399.96
a08,126,11,35,-2,5,ST,AWT,AWT,1200,5,11,AUS,2,0,0,25,0.08,0.08,0,0,1,53,31,36,38,0.10996,120,0.24896,17,29,30,387,0.04393,0.16279,-0.03,4.667,5600.04
a09,123,11,72,0,5,ST,Turf,C+3,1800,3,216,IRE,0,0,0,5,0,0,0,0,0,3,5,14,11,0.02362,22,0.17323,9,6,12,173,0.05202,0.15029,-0.27,0.429,771.48
a06,129,4,38,-2,6,ST,AWT,AWT,1200,5,38,AUS,1,3,2,26,0.04,0.23,0.12,0.08,0,19,20,11,12,0.07143,50,0.18797,20,15,18,313,0.0639,0.16933,0.26,6.833,8199.96
a07,110,10,42,-2,4,ST,Turf,C,1200,4,32,AUS,0,2,0,10,0,0.2,0.2,0,1,20,28,32,40,0.04348,80,0.17391,16,32,40,460,0.03478,0.16522,0.18,-12.333,-14799.96
a06,127,9,54,2,4,HV,Turf,A,1200,4,14,AUS,0,2,1,11,0,0.27,0.18,0.09,2,29,29,27,30,0.07945,85,0.23288,20,26,24,327,0.06116,0.24771,0.06,7.083,8499.96
a06,113,2,92,0,4,ST,Turf,C,1000,G3,84,AUS,4,2,0,10,0.4,0.6,0.2,0,1,15,12,23,18,0.06912,50,0.23041,13,11,12,193,0.06736,0.19689,0.44,-10,-10000
a03,106,10,63,0,6,ST,Turf,A+3,1000,3,14,IRE,2,0,2,24,0.08,0.17,0,0.08,1,44,22,29,31,0.11579,95,0.25,0,0,0,0,0,0,0.04,-14.714,-14714.3
a03,127,6,73,0,4,HV,Turf,A,1200,3,21,IRE,0,3,2,25,0,0.2,0.12,0.08,1,17,14,18,7,0.134920635,49,0.388888889,9,7,6,114,0.078947368,0.228070175,0.17,4.083333333,147500
a03,126,7,124,1,5,ST,Turf,B,1400,G1,27,IRE,3,3,3,13,0.23,0.69,0.23,0.23,1,40,28,24,26,0.13699,92,0.31507,0,2,2,23,0,0.21739,0.35,0,0
a07,110,11,61,-2,6,ST,Turf,C+3,1600,3,36,FR,1,1,1,20,0.05,0.15,0.05,0.05,1,39,51,34,40,0.09398,124,0.2988,2,2,5,144,0.01389,0.05556,0.09,-9.643,-15428.64
a06,123,6,50,-2,4,HV,Turf,C+3,1200,4,46,AUS,0,0,0,3,0,0,0,0,1,9,13,10,15,0.04639,32,0.16495,31,21,13,208,0.14904,0.38942,-0.38,-1.417,-1700.04
a06,133,2,79,0,6,HV,Turf,A,1800,3,14,NZ,5,7,4,16,0.3125,1,0.4375,0.25,1,5,8,8,11,0.052631579,21,0.221052632,9,7,6,114,0.078947368,0.228070175,0.29,9.833333333,221700
a04,131,9,78,-2,6,ST,Turf,C,1600,3,15,FR,4,0,0,33,0.12,0.12,0,0,2,61,35,44,42,0.10796,140,0.24779,32,44,42,565,0.05664,0.19646,-0.01,6.786,10857.12
a01,132,5,79,-1,4,HV,Turf,C,1200,3,10,NZ,1,0,0,5,0.2,0.2,0,0,2,45,32,52,37,0.09018,129,0.25852,97,55,41,555,0.17477,0.42523,0.02,10.417,12500.04
a11,126,10,38,-4,3,ST,AWT,AWT,1200,5,31,NZ,0,0,0,5,0,0,0,0,1,25,23,22,23,0.07862,70,0.22013,1,2,4,130,0.00769,0.05385,-0.19,3.833,4599.96
a02,129,8,36,-2,5,ST,AWT,AWT,1200,5,11,AUS,1,3,1,27,0.04,0.19,0.11,0.04,2,16,13,15,14,0.13115,44,0.36066,15,18,10,142,0.10563,0.34507,0.12,5.4,6500
a08,125,1,50,-2,3,ST,Turf,C,1000,4,35,AUS,0,0,0,2,0,0,0,0,1,17,15,31,22,0.06227,63,0.23077,0,2,3,27,0,0.11111,0.38,1.857,1857.1
a12,127,3,74,0,6,ST,Turf,C+3,1800,3,258,GB,4,4,3,30,0.13,0.37,0.13,0.1,1,7,12,9,6,0.0407,28,0.16279,21,27,17,204,0.10294,0.34804,0.13,4.429,7971.48
a10,128,12,113,-1,6,HV,Turf,C,1800,1,45,SAF,5,3,2,20,0.25,0.5,0.15,0.1,0,23,20,19,21,0.07823,62,0.21088,18,22,19,286,0.06294,0.21329,0.08,10.333,18599.94
a06,116,12,63,0,7,ST,Turf,C+3,1400,3,28,AUS,1,4,2,28,0.04,0.25,0.14,0.07,1,10,11,8,6,0.09901,29,0.28713,46,26,22,206,0.2233,0.53398,0.08,-5.4,-7500
a01,132,5,39,-2,5,HV,Turf,A,1200,5,31,AUS,1,0,0,17,0.06,0.06,0,0,2,23,18,20,20,0.09871,61,0.2618,5,19,17,151,0.03311,0.24503,-0.13,7.833,9399.96
a07,126,3,54,2,4,ST,Turf,C+3,1200,4,70,AUS,0,1,0,2,0,0.5,0.5,0,0,25,20,13,17,0.13587,58,0.31522,14,15,15,179,0.07821,0.23464,0.19,1.833,2199.96
a12,133,8,38,-1,6,HV,Turf,C+3,1800,5,28,IRE,2,2,4,33,0.06,0.24,0.06,0.12,1,8,7,6,15,0.0398,21,0.10448,0,0,2,15,0,0,-0.09,9.583,17249.94
a08,117,2,94,-1,5,ST,AWT,AWT,1200,1,67,ITY,2,2,0,20,0.1,0.2,0.1,0,0,24,22,28,29,0.09836,74,0.30328,73,43,35,317,0.23028,0.5205,0.38,-6,-7200
a10,132,1,76,-3,5,ST,Turf,C+3,2200,3,45,IRE,0,0,0,4,0,0,0,0,1,3,7,15,11,0.02174,25,0.18116,6,21,22,181,0.03315,0.22652,-0.38,7.4,16280
a07,122,6,99,0,6,ST,AWT,AWT,1200,1,109,IRE,4,3,6,28,0.14,0.46,0.11,0.21,0,31,22,20,20,0.14486,73,0.34112,19,14,20,190,0.1,0.24211,0.77,-1,-1200
a02,123,2,70,0,5,ST,AWT,AWT,1200,3,28,NZ,1,0,0,5,0.2,0.2,0,0,1,41,29,27,30,0.17447,97,0.41277,84,48,39,361,0.23269,0.52078,-0.38,1.75,2100
a13,130,3,55,0,5,ST,AWT,AWT,1650,4,18,IRE,1,1,3,20,0.05,0.25,0.05,0.15,1,8,7,6,14,0.04145,21,0.10881,29,40,41,454,0.06388,0.23789,0.18,6.923,11423.115
a09,131,6,103,0,5,ST,Turf,A+3,1000,2,20,AUS,3,3,1,12,0.25,0.58,0.25,0.08,1,46,31,32,36,0.11705,109,0.27735,77,44,31,479,0.16075,0.40084,0.26,15.214,15214.3
a07,113,6,94,0,4,ST,Turf,C,1800,G3,14,FR,0,0,0,1,0,0,0,0,1,35,25,24,23,0.14056,84,0.33735,84,48,39,361,0.23269,0.52078,-0.12,-10,-18000
a03,118,7,66,-3,5,HV,Turf,B,1650,3,25,IRE,0,0,0,7,0,0,0,0,1,7,15,21,18,0.0307,43,0.1886,5,12,11,272,0.01838,0.10294,-0.28,-5.25,-8662.5
a07,125,10,53,-1,5,ST,Turf,C,1400,4,32,IRE,1,0,0,17,0.06,0.06,0,0,1,23,35,26,25,0.06534,84,0.23864,18,26,25,352,0.05114,0.22443,-0.01,1.571,2199.96
a07,125,4,57,0,5,ST,Turf,C+3,1400,4,69,NZ,2,1,1,18,0.11,0.22,0.06,0.06,0,10,16,13,11,0.06757,39,0.26351,1,2,3,65,0.01538,0.06154,0.27,-1.071,-1499.96
a05,112,10,41,2,6,ST,AWT,AWT,1650,4,22,AUS,1,2,0,13,0.08,0.23,0.15,0,1,9,13,4,5,0.06923,26,0.2,3,1,5,88,0.03409,0.11364,0.17,-12.1,-19917.9
a01,122,9,49,0,3,ST,Turf,A,1600,4,28,AUS,0,0,0,4,0,0,0,0,1,31,30,38,35,0.07969,99,0.2545,35,23,40,388,0.09021,0.22165,0.1,-0.143,-228.64
a05,131,9,103,0,5,ST,Turf,C+3,1200,2,43,AUS,3,3,1,11,0.27,0.64,0.27,0.09,0,43,29,31,34,0.11878,103,0.28453,68,41,26,437,0.15561,0.39817,0.28,10.364,12436.32
a02,123,5,49,1,3,ST,Turf,B+2,1200,4,32,NZ,0,0,1,4,0,0.25,0,0.25,2,22,18,25,22,0.10628,65,0.31401,5,10,10,140,0.03571,0.17143,0.19,-1.071,-1285.68
a06,127,5,103,0,5,ST,Turf,A,1400,1,41,AUS,6,5,3,21,0.285714286,0.666666667,0.238095238,0.142857143,0,12,12,15,10,0.081081081,39,0.263513514,7,8,7,94,0.074468085,0.234042553,0.22,4.2,171920
a03,132,10,39,-2,6,ST,Turf,A+3,1600,5,25,AUS,1,1,2,32,0.03,0.13,0.03,0.06,1,12,25,25,30,0.0339,62,0.17514,144,62,63,561,0.25668,0.52406,0.18,6.714,10742.88
a02,117,6,78,5,3,ST,Turf,A+3,2000,2,48,IRE,1,1,1,3,0.33,1,0.33,0.33,1,24,18,19,22,0.15094,61,0.38365,58,34,27,261,0.22222,0.52107,0.42,-7.077,-14153.8
a08,123,5,89,0,5,ST,Turf,Turf,1200,2,21,NZ,3,3,4,17,0.176470588,0.588235294,0.176470588,0.235294118,1,7,9,2,5,0.082352941,18,0.211764706,7,12,8,108,0.064814815,0.25,0.21,-4,142800
a11,115,3,44,-2,5,HV,Turf,A,1200,4,53,AUS,2,2,1,24,0.08,0.21,0.08,0.04,1,11,14,10,16,0.05116,35,0.16279,3,4,6,125,0.024,0.104,0.25,-9.75,-11700
a05,121,12,94,0,4,ST,Turf,A,2400,G3,21,AUS,1,4,0,9,0.11,0.56,0.44,0,1,72,50,35,52,0.18898,157,0.41207,30,30,44,470,0.06383,0.21915,0.13,1.357,3257.04
a07,130,5,76,-3,6,HV,Turf,A,1800,3,154,AUS,1,5,4,11,0.090909091,0.909090909,0.454545455,0.363636364,0,11,5,7,7,0.150684932,23,0.315068493,12,13,15,122,0.098360656,0.237704918,0.24,6.833333333,221700
a04,114,6,60,7,3,ST,Turf,C+3,1600,3,29,NZ,1,2,0,4,0.25,0.75,0.5,0,1,7,14,21,16,0.03167,42,0.19005,19,24,20,287,0.0662,0.25436,0.35,-5.643,-9028.64
a10,123,11,70,-2,6,HV,Turf,C,1650,3,17,AUS,3,2,5,31,0.1,0.32,0.06,0.16,1,53,34,35,42,0.11497,122,0.26464,29,40,37,378,0.07672,0.29365,0.06,-0.667,-1100.055
a05,115,12,44,2,9,HV,Turf,A,1650,4,21,USA,3,3,2,48,0.06,0.17,0.06,0.04,2,6,12,9,6,0.03727,27,0.1677,4,7,9,125,0.032,0.136,0.64,-7.333,-12099.945
a05,113,5,62,0,6,ST,Turf,C+3,1400,3,32,NZ,1,1,1,27,0.04,0.11,0.04,0.04,1,13,8,3,8,0.11207,24,0.2069,5,13,9,146,0.03425,0.15753,0.06,-8.4,-11700
a01,120,6,67,0,5,HV,Turf,C+3,1650,3,42,IRE,2,2,3,23,0.086956522,0.304347826,0.086956522,0.130434783,0,7,10,6,9,0.054263566,23,0.178294574,12,11,12,162,0.074074074,0.209876543,0.21,-1.333333333,200200
a03,121,2,48,0,3,ST,Turf,C+3,1200,4,59,AUS,0,1,0,6,0,0.17,0.17,0,1,17,21,21,15,0.08586,59,0.29798,24,22,22,252,0.09524,0.26587,0.13,-5.917,-7100.04
a03,117,7,64,0,8,ST,Turf,C,1400,3,42,GB,3,1,4,40,0.08,0.2,0.03,0.1,1,11,18,8,8,0.06215,37,0.20904,13,16,13,170,0.07647,0.25882,0.38,-3.786,-5299.98
a03,120,8,47,8,6,ST,Turf,C,1400,4,0,AUS,3,3,4,34,0.09,0.29,0.09,0.12,2,6,14,18,15,0.02326,38,0.14729,22,18,15,258,0.08527,0.2093,0.09,-2.385,-3338.44
a06,123,13,31,-2,7,ST,Turf,A,1400,5,46,AUS,1,2,2,37,0.03,0.14,0.05,0.05,1,6,5,2,8,0.04878,13,0.10569,20,14,20,195,0.10256,0.24103,-0.26,-2.357,-3299.94
a07,107,8,61,2,4,ST,Turf,C,1000,3,0,NZ,1,6,0,11,0.09,0.64,0.55,0,1,49,32,32,37,0.12099,113,0.27901,10,32,37,405,0.02469,0.18272,0.44,-11.929,-11928.6
a07,125,1,70,0,3,ST,Turf,C+3,1200,3,29,AUS,0,0,1,2,0,0.5,0,0.5,1,22,24,29,26,0.055,75,0.1875,35,35,27,296,0.11824,0.33108,0.19,2.5,3000
a12,117,12,63,0,6,ST,Turf,B,2000,3,18,AUS,3,6,5,30,0.1,0.47,0.2,0.17,1,11,16,12,15,0.05528,39,0.19598,6,8,15,225,0.02667,0.08889,0.05,-5.929,-11857.2
a11,127,3,34,-1,5,ST,Turf,C,1600,5,32,AUS,3,1,3,32,0.09,0.22,0.03,0.09,2,24,18,20,21,0.09917,62,0.2562,11,17,18,221,0.04977,0.20814,0.18,4.643,7428.64
a01,122,4,49,-2,4,HV,Turf,C+3,1650,4,23,IRE,0,0,0,9,0,0,0,0,1,17,16,17,17,0.06939,50,0.20408,24,14,26,282,0.08511,0.19858,-0.08,1.167,1925.055
a07,128,11,54,0,6,HV,Turf,A,1200,4,21,IRE,0,2,1,13,0,0.23,0.15,0.08,1,9,13,4,5,0.07,26,0.2,45,25,22,198,0.23,0.54,0.19,1.8,2200
a05,129,5,91,0,5,ST,Turf,A,1400,2,74,AUS,6,3,1,18,0.33,0.56,0.17,0.06,0,13,17,15,12,0.06915,45,0.23936,23,32,22,257,0.08949,0.31518,0.26,7.071,9899.96
a03,123,5,48,2,5,HV,Turf,B,1200,4,248,AUS,0,2,0,7,0,0.29,0.29,0,0,29,19,22,22,0.10861,70,0.26217,4,6,10,92,0.04348,0.17391,0.15,-2.167,-2600.04
a14,111,1,40,-4,5,ST,Turf,B+2,1400,4,126,AUS,0,0,0,4,0,0,0,0,0,6,17,24,16,0.02041,47,0.15986,4,6,8,234,0.01709,0.05983,-0.35,122.929,172100.04
a01,126,9,68,1,4,ST,AWT,AWT,1200,3,39,AUS,2,1,0,15,0.13,0.2,0.07,0,1,27,30,19,23,0.07068,76,0.19895,167,79,77,682,0.24487,0.5088,0.12,123.333,147999.96
a08,133,7,59,-2,5,ST,Turf,B,1600,4,26,NZ,2,4,5,25,0.08,0.44,0.16,0.2,1,11,20,14,10,0.05366,45,0.21951,0,2,2,15,0,0.13333,0.03,8.714,13942.88
a09,123,3,70,-2,3,ST,Turf,A,1400,3,15,AUS,0,0,0,2,0,0,0,0,1,15,27,28,34,0.03866,70,0.18041,9,13,26,344,0.02616,0.08721,-0.12,0.714,1000.02
a12,123,7,50,-2,4,HV,Turf,C+3,1200,4,64,AUS,0,0,0,4,0,0,0,0,1,6,9,8,15,0.0375,23,0.14375,15,15,15,188,0.07979,0.23404,-0.13,-0.917,-1100.04
a11,124,1,51,-2,5,ST,Turf,C,1400,4,84,AUS,0,2,0,8,0,0.25,0.25,0,0,6,8,9,8,0.04138,23,0.15862,6,19,18,156,0.03846,0.24359,0.14,-0.357,-499.94
a12,114,5,41,5,4,ST,AWT,AWT,1650,4,22,IRE,1,1,0,12,0.08,0.17,0.08,0,2,4,8,8,6,0.0381,20,0.19048,4,5,9,135,0.02963,0.08889,0.12,-10.1,-16617.9
a02,126,2,71,2,5,ST,Turf,C+3,1200,3,15,AUS,2,2,0,17,0.12,0.24,0.12,0,2,14,23,21,19,0.05364,58,0.22222,2,11,7,108,0.01852,0.2037,0.18,3.5,4200
a02,124,12,53,-3,4,HV,Turf,B,1200,4,18,GB,0,0,0,7,0,0,0,0,1,14,23,22,15,0.04444,59,0.1873,8,17,17,255,0.03137,0.15294,-0.23,4.167,5000.04
a09,116,8,67,-3,4,ST,Turf,A+3,2000,3,13,GB,0,0,0,3,0,0,0,0,1,37,35,57,41,0.06827,129,0.23801,14,25,24,307,0.0456,0.16287,-0.24,-6.6,-13200
a13,126,9,51,-2,3,ST,Turf,A+3,1200,4,55,AUS,0,1,0,4,0,0.25,0.25,0,0,26,42,27,29,0.06005,95,0.2194,43,46,42,515,0.0835,0.26214,-0.12,3.143,3771.48
a08,125,12,57,0,4,HV,Turf,A,1200,4,21,GB,0,1,1,17,0,0.12,0.06,0.06,1,20,28,32,40,0.04415,80,0.1766,15,25,24,324,0.0463,0.16358,-0.13,2.667,3200.04
a08,133,12,60,1,6,ST,Turf,C,1400,4,14,AUS,2,0,2,11,0.18,0.36,0,0.18,2,11,17,15,12,0.06322,43,0.24713,27,24,23,272,0.09926,0.27574,-0.38,8.429,11800.04
a04,121,12,53,6,5,HV,Turf,B,1000,4,21,ITY,1,0,1,17,0.06,0.12,0,0.06,1,29,29,37,31,0.07817,95,0.25606,23,18,20,372,0.06183,0.16935,0.23,-0.25,-250
a10,115,7,71,-2,6,HV,Turf,A,2200,3,21,AUS,1,7,4,30,0.03,0.4,0.23,0.13,1,30,24,40,32,0.07371,94,0.23096,7,19,14,157,0.04459,0.22293,0.01,-6.333,-13933.26
a08,122,2,49,0,4,ST,Turf,B,1400,4,35,AUS,1,1,2,14,0.07,0.29,0.07,0.14,1,35,20,25,26,0.10574,80,0.24169,54,34,19,333,0.16216,0.41441,0.21,0.5,700
a06,118,1,82,0,5,ST,Turf,C,1600,2,42,AUS,1,1,1,12,0.08,0.25,0.08,0.08,1,3,11,11,9,0.02128,25,0.1773,1,3,6,44,0.02273,0.18182,0.15,-3.857,-6171.36
a04,128,1,35,0,5,ST,Turf,B,1400,5,35,NZ,1,1,0,10,0.1,0.2,0.1,0,1,31,24,27,30,0.1058,82,0.27986,29,22,16,213,0.13615,0.34272,0.1,2.429,3400.04
a06,122,9,68,-2,4,ST,Turf,C+3,1400,3,28,GB,0,0,0,6,0,0,0,0,1,30,34,29,31,0.10274,93,0.31849,28,25,23,287,0.09756,0.27526,-0.1,-0.714,-1000.02
a14,132,7,39,-1,6,ST,Turf,A+3,1200,5,23,AUS,1,1,3,24,0.04,0.21,0.04,0.13,2,26,21,16,18,0.13402,63,0.32474,32,21,13,212,0.15094,0.39151,-0.38,10.643,12771.48
a10,119,10,64,-1,4,HV,Turf,A,1200,3,14,IRE,0,0,1,9,0,0.11,0,0.11,1,8,8,9,11,0.06,25,0.19,4,4,6,59,0.07,0.27,-0.12,-4.3,-5200
a09,133,1,60,-2,5,ST,Turf,B+2,1400,4,21,IRE,0,0,1,11,0,0.09,0,0.09,1,32,31,26,32,0.10631,89,0.29568,62,39,25,404,0.15347,0.39356,-0.08,9.714,13600.02
a02,119,5,26,-2,4,HV,Turf,B,1200,5,9,NZ,0,0,0,12,0,0,0,0,1,19,15,31,23,0.06786,65,0.23214,17,20,16,222,0.07658,0.27027,0.06,-4.25,-5100
a01,113,13,81,-2,4,ST,Turf,C+3,1600,2,21,AUS,0,2,0,8,0,0.25,0.25,0,1,15,28,23,17,0.04144,66,0.18232,10,17,19,311,0.03215,0.14791,0.17,-6.5,-10400
a03,109,11,82,0,5,ST,Turf,Turf,1200,2,21,AUS,3,0,1,7,0.428571429,0.571428571,0,0.142857143,1,10,6,9,4,0.12195122,25,0.304878049,10,22,12,132,0.075757576,0.348484848,0.31,7,142800
a02,133,12,59,0,3,HV,Turf,B,1200,4,21,NZ,1,2,0,10,0.1,0.3,0.2,0,1,31,26,25,30,0.11191,82,0.29603,113,55,52,457,0.24726,0.52079,0.1,9.417,11300.04
a03,113,6,87,-2,6,HV,Turf,C,1650,1,21,GB,1,5,1,21,0.05,0.33,0.24,0.05,2,20,23,25,17,0.08475,68,0.28814,15,20,19,203,0.07389,0.28571,0.21,-5.818,-9600.03
a02,115,1,44,2,6,HV,Turf,A,1200,4,14,GB,1,2,0,22,0.05,0.14,0.09,0,1,33,30,46,36,0.07253,109,0.23956,16,29,27,363,0.04408,0.16529,0.21,-4.917,-5900.04
a01,126,8,114,0,4,ST,Turf,A,1600,R,91,AUS,4,1,0,8,0.5,0.63,0.13,0,0,31,24,20,20,0.14155,75,0.34247,74,44,35,325,0.22769,0.52,0.44,0,0
a02,133,10,60,1,6,ST,Turf,B,1200,4,29,NZ,3,0,4,20,0.15,0.35,0,0.2,1,11,20,14,10,0.05366,45,0.21951,23,16,11,160,0.14375,0.34375,0.14,5.643,6771.48
a06,128,2,96,-2,6,HV,Turf,A,1650,2,56,NZ,5,4,0,33,0.15,0.27,0.12,0,0,46,24,32,32,0.1122,102,0.24878,2,10,7,101,0.0198,0.19802,-0.06,7.417,12237.56
a05,122,9,71,0,4,HV,Turf,B,1200,3,0,NZ,0,0,0,0,0,0,0,0,0,17,14,6,10,0.08543,37,0.18593,11,7,12,197,0.05584,0.14721,0,-0.333,-399.96
a02,129,10,56,0,4,HV,Turf,C+3,1650,4,21,NZ,0,4,3,14,0,0.5,0.29,0.21,1,6,10,19,15,0.02956,35,0.17241,61,39,25,399,0.15288,0.39348,0.26,4.917,8112.555
a12,131,6,80,0,4,HV,Turf,A,1650,3,29,FR,0,0,0,1,0,0,0,0,1,8,16,11,12,0.04545,35,0.19886,7,16,19,229,0.03057,0.13974,-0.35,7.25,11962.5
a07,118,11,81,0,3,HV,Turf,B,1200,2,10,NZ,3,2,0,10,0.3,0.5,0.2,0,2,78,55,38,55,0.1866,171,0.40909,6,21,12,164,0.03659,0.25,0.22,-3.833,-4599.96
a08,118,3,64,-3,4,ST,Turf,A+3,2000,3,20,GB,0,0,0,6,0,0,0,0,1,59,34,42,42,0.10806,135,0.24725,39,49,56,596,0.06544,0.24329,-0.24,-4.6,-9200
a01,124,3,51,5,4,HV,Turf,A,1200,4,28,AUS,1,0,0,5,0.2,0.2,0,0,1,48,32,32,36,0.1203,112,0.2807,34,22,36,359,0.09471,0.2312,-0.02,4.083,4899.96
a03,120,7,48,-2,3,ST,Turf,C+3,1200,4,17,NZ,0,0,0,3,0,0,0,0,1,20,17,20,21,0.1087,57,0.30978,5,8,8,120,0.04167,0.175,-0.9,-4.167,-5000.04
a10,125,11,70,-4,4,HV,Turf,C,1200,3,10,IRE,0,0,0,4,0,0,0,0,1,31,29,26,30,0.10839,86,0.3007,4,9,9,232,0.01724,0.10345,-0.44,0.833,999.96
a03,122,6,69,1,5,ST,AWT,AWT,1650,3,18,AUS,3,0,2,17,0.18,0.29,0,0.12,2,11,19,13,9,0.04622,43,0.18067,55,34,19,342,0.16082,0.40643,-0.04,-0.357,-589.215
a02,118,5,44,0,3,ST,AWT,AWT,1200,4,21,AUS,0,0,0,6,0,0,0,0,1,7,11,20,15,0.03333,38,0.18095,30,20,28,318,0.09434,0.2327,-0.69,-4,-4800
a02,128,3,75,-1,5,HV,Turf,B,1200,3,28,AUS,3,2,1,19,0.16,0.32,0.11,0.05,1,7,16,15,19,0.0303,38,0.1645,4,6,10,92,0.04348,0.17391,0.08,5.667,6800.04
a08,121,10,69,-1,5,ST,AWT,AWT,1200,3,186,IRE,0,0,0,2,0,0,0,0,1,24,18,20,21,0.09917,62,0.2562,6,14,15,191,0.03141,0.1466,0.38,-2.5,-3000
a02,123,4,50,-2,7,HV,Turf,C+3,1650,4,21,IRE,3,1,3,31,0.1,0.23,0.03,0.1,1,14,24,22,20,0.05018,60,0.21505,144,62,62,553,0.2604,0.52622,-0.03,1.833,3024.945
a12,122,12,68,-2,5,ST,AWT,AWT,1200,3,14,NZ,1,1,0,11,0.09,0.18,0.09,0,2,78,55,39,56,0.1844,172,0.40662,40,40,40,440,0.09091,0.26818,0.17,1.083,1299.96
