Pla,ActWt,Dr,Rtg,RtgChange,Age,RC,Track,Course,Dist,Class,Daysincelastmatch,COC,No1,No2,No3,NoStarts,hrsW,hrsP,hrsNo2Per,hrsNo3Per,R10day,X1516TW,X1516T2,X1516T3,X1516T4,X1516TWper,X1516TTP,X1516TPper,X1516JW,X1516J3,X1516J4,X1516JR,X1516JWper,X1516JPper,RecencyFinish.average,Weight.Rel.,Weight.Rel.Dist
a07,127,12,73,0,5,HV,Turf,A,1200,3,42,NZ,2,3,4,15,0.133333333,0.6,0.2,0.266666667,0,14,10,11,13,0.088607595,35,0.221518987,5,11,11,121,0.041322314,0.214876033,0.06,4.083333333,147500
a04,114,7,41,-2,7,HV,Turf,C+3,1200,4,7,AUS,5,2,4,38,0.13,0.29,0.05,0.11,2,29,21,37,29,0.07733,87,0.232,7,8,20,270,0.02593,0.08148,0.17,-7.917,-9500.04
a07,126,7,70,0,5,ST,AWT,AWT,1650,3,59,GER,0,2,5,18,0,0.39,0.11,0.28,1,3,5,14,11,0.02308,22,0.16923,6,21,21,172,0.03488,0.23837,0.19,-0.071,-117.81
a09,114,9,41,-3,4,HV,Turf,C+3,1650,4,31,AUS,0,0,0,5,0,0,0,0,1,31,24,27,29,0.1069,82,0.28276,5,8,15,220,0.02273,0.08636,-0.27,-7.25,-11962.5
a14,124,3,70,0,4,ST,Turf,B+2,1200,3,25,IRE,0,0,0,1,0,0,0,0,1,19,24,19,14,0.08085,62,0.26383,4,10,10,248,0.01613,0.10081,-0.19,0.571,685.68
a02,133,1,80,0,4,ST,AWT,AWT,1200,3,11,AUS,0,0,2,4,0,0.5,0,0.5,2,33,21,25,23,0.11458,79,0.27431,28,21,16,201,0.1393,0.34328,0.19,9.833,11799.96
a13,120,9,67,-2,5,ST,Turf,Turf,2000,3,32,NZ,0,0,1,11,0,0.090909091,0,0.090909091,1,4,11,8,6,0.035087719,23,0.201754386,12,10,13,104,0.115384615,0.25,-0.08,-7.642857143,245285.7143
a09,117,2,29,-3,5,ST,AWT,AWT,1200,5,99,AUS,1,2,0,22,0.05,0.14,0.09,0,0,5,14,16,14,0.02066,35,0.14463,2,2,6,151,0.01325,0.05298,-0.06,-3.667,-4400.04
a06,128,6,33,0,7,HV,Turf,C+3,1800,5,28,NZ,3,4,4,45,0.07,0.24,0.09,0.09,1,15,25,22,16,0.04451,62,0.18398,27,38,37,353,0.07649,0.30028,0.14,4.583,8249.94
a04,122,3,49,-2,5,ST,Turf,C,1600,4,21,AUS,1,2,0,16,0.06,0.19,0.13,0,2,14,23,21,13,0.04667,58,0.19333,8,8,22,286,0.02797,0.08392,0.19,1.5,2400
a08,118,12,51,0,6,HV,Turf,A,1200,4,21,AUS,1,5,3,19,0.052631579,0.473684211,0.263157895,0.157894737,1,14,15,17,12,0.08045977,46,0.264367816,8,4,9,134,0.059701493,0.156716418,0.03,-1.166666667,143000
