"","Filename","Location","Habitat","Season","H","RelStr","RelStr_Norm"
"401","S4A01321_20170928_103343.wav","MaPkM","NonCore","Wet","H1",0.042669351,0.527783988469965
"402","S4A01321_20170928_110208.wav","Bros","NonCore","Wet","H1",0.05108858,0.631922770929112
"403","S4A01321_20170928_110208.wav","Bros","NonCore","Wet","H1",0.05108858,0.631922770929112
"404","S4A01321_20170928_110208.wav","Bros","NonCore","Wet","H1",0.054522716,0.674400145263404
"405","S4A01321_20170928_110208.wav","Bros","NonCore","Wet","H1",0.054522716,0.674400145263404
"406","S4A01321_20170928_115811.wav","TaiO","Core","Wet","H1",0.049744564,0.615298423278559
"407","S4A01321_20170928_120902.wav","TsLk","Core","Wet","H1",0.042226378,0.522304784984435
"408","S4A01321_20170928_123001.wav","PkHi","Core","Wet","H1",0.060827232,0.752381706310646
"409","S4A01321_20170928_131218.wav","FLSP","NonCore","Wet","H1",0.04798989,0.593594581516716
"410","S4A01321_20170928_132338.wav","ShPk","NonCore","Wet","H1",0.029353688,0.36308043515691
"411","S4A01321_20170928_133840.wav","ChSh","NonCore","Wet","H1",0.033512002,0.414515282343372
"412","S4A01321_20170928_135619.wav","SokoM","NonCore","Wet","H1",0.057019318,0.705281012450301
"413","S4A01321_20170928_140837.wav","ShipL","NonCore","Wet","H1",0.049554357,0.612945722645852
"414","S4A01321_20180303_095251.wav","FanL","Core","Dry","H1",0.033310041,0.412017194615359
"415","S4A01321_20180303_101707.wav","FLSP","NonCore","Dry","H1",0.031366833,0.387981345823875
"416","S4A01321_20180303_104403.wav","ChSh","NonCore","Dry","H1",0.041310202,0.510972458335725
"417","S4A01321_20180303_110001.wav","SokoM","NonCore","Dry","H1",0.026312034,0.325457733099276
"418","S4A01321_20180303_113153.wav","PkHi","Core","Dry","H1",0.040863944,0.505452622162762
"419","S4A01321_20180303_114320.wav","TsLk","Core","Dry","H1",0.028016053,0.346535015110165
"420","S4A01321_20180303_115433.wav","TaiO","Core","Dry","H1",0.017001329,0.210292142219601
"421","S4A01321_20180303_122642.wav","AirP","NonCore","Dry","H1",0.035196429,0.435350227790433
"422","S4A01321_20180303_124321.wav","MaPkS","NonCore","Dry","H1",0.041055129,0.507817419833007
"423","S4A01321_20180303_131144.wav","MaPkN","NonCore","Dry","H1",0.028638395,0.354232862282773
"424","S4A01321_20180303_131937.wav","MaPkM","NonCore","Dry","H1",0.04658819,0.576256731296347
"425","S4A01321_20180322_100317.wav","FanL","Core","Dry","H1",0.053046438,0.656139827900469
"426","S4A01321_20180322_101945.wav","FLSP","NonCore","Dry","H1",0.02227303,0.275498650277366
"427","S4A01321_20180322_103139.wav","SokoN","NonCore","Dry","H1",0.038318648,0.47396945114578
"428","S4A01321_20180322_104857.wav","ChSh","NonCore","Dry","H1",0.033404618,0.41318703256948
"429","S4A01321_20180322_110539.wav","SokoM","NonCore","Dry","H1",0.034085659,0.421610937008326
"430","S4A01321_20180322_111646.wav","ShipL","NonCore","Dry","H1",0.010687402,0.132194175016674
"431","S4A01321_20180322_121720.wav","PkHi","Core","Dry","H1",0.038909809,0.481281615570495
"432","S4A01321_20180322_123950.wav","TsLk","Core","Dry","H1",0.041871017,0.517909268260342
"433","S4A01321_20180322_125020.wav","TaiO","Core","Dry","H1",0.055355512,0.684701131431715
"434","S4A01321_20180328_095222.wav","AirP","NonCore","Dry","H1",0.01844754,0.228180556077809
"435","S4A01321_20180328_100918.wav","MaPkS","NonCore","Dry","H1",0.011314407,0.139949699577865
"436","S4A01321_20180328_102956.wav","MaPkN","NonCore","Dry","H1",0.025976636,0.321309141897013
"437","S4A01321_20180328_103831.wav","MaPkM","NonCore","Dry","H1",0.020995681,0.259698917352248
"438","S4A01321_20180328_110623.wav","Bros","NonCore","Dry","H1",0.066423088,0.821597739115635
"439","S4A01321_20180328_110623.wav","Bros","NonCore","Dry","H1",0.066423088,0.821597739115635
"440","S4A01321_20180328_110623.wav","Bros","NonCore","Dry","H1",0.060600561,0.74957797666286
"441","S4A01321_20180328_110623.wav","Bros","NonCore","Dry","H1",0.060600561,0.74957797666286
"442","S4A01321_20180328_115517.wav","TaiO","Core","Dry","H1",0.048762672,0.603153244974658
"443","S4A01321_20180328_120814.wav","TsLk","Core","Dry","H1",0.041535612,0.513760590473966
"444","S4A01321_20180328_130514.wav","FanL","Core","Dry","H1",0.064549249,0.7984199265173
"445","S4A01321_20180328_131843.wav","FLSP","NonCore","Dry","H1",0.067135391,0.830408328204255
"446","S4A01321_20180328_133809.wav","PkHi","Core","Dry","H1",0.058607972,0.724931326429034
"447","S4A01321_20180404_101002.wav","FanL","Core","Dry","H1",0.045868458,0.56735425172525
"448","S4A01321_20180404_102459.wav","FLSP","NonCore","Dry","H1",0.034625759,0.428291519803518
"449","S4A01321_20180404_103708.wav","ShPk","NonCore","Dry","H1",0.034271501,0.423909646261842
"450","S4A01321_20180404_105704.wav","ChSh","NonCore","Dry","H1",0.037600778,0.465090002948808
"451","S4A01321_20180404_111525.wav","SokoM","NonCore","Dry","H1",0.039545167,0.489140459717112
"452","S4A01321_20180404_112753.wav","SokoN","NonCore","Dry","H1",0.029267256,0.362011344003135
"453","S4A01321_20180404_121608.wav","TsLk","Core","Dry","H1",0.016498034,0.204066806322718
"454","S4A01321_20180404_122637.wav","TaiO","Core","Dry","H1",0.038231959,0.472897181118132
"455","S4A01321_20180404_124617.wav","AirP","NonCore","Dry","H1",0.032841299,0.406219250270637
"456","S4A01321_20180404_130314.wav","MaPkS","NonCore","Dry","H1",0.021686502,0.268243792166463
"457","S4A01321_20180404_132226.wav","MaPkN","NonCore","Dry","H1",0.055655282,0.688409034235853
"458","S4A01321_20180404_133037.wav","MaPkM","NonCore","Dry","H1",0.047455728,0.586987446787878
"459","S4A01321_20180404_135641.wav","Bros","NonCore","Dry","H1",0.045935599,0.568184729432068
"460","S4A01321_20180411_094514.wav","AirP","NonCore","Dry","H1",0.012304465,0.152195884434452
"461","S4A01321_20180411_100152.wav","MaPkS","NonCore","Dry","H1",0.0251479,0.311058374514387
"462","S4A01321_20180411_105251.wav","MaPkN","NonCore","Dry","H1",0.059147747,0.73160788924754
"463","S4A01321_20180411_110126.wav","MaPkM","NonCore","Dry","H1",0.014413963,0.178288600681986
"464","S4A01321_20180411_112921.wav","Bros","NonCore","Dry","H1",0.049435786,0.611479099089828
"465","S4A01321_20180411_121226.wav","TaiO","Core","Dry","H1",0.03820196,0.47252611871622
"466","S4A01321_20180411_122252.wav","TsLk","Core","Dry","H1",0.034935073,0.432117473861493
"467","S4A01321_20180411_123411.wav","PkHi","Core","Dry","H1",0.040880008,0.505651320333512
"468","S4A01321_20180411_130954.wav","FanL","Core","Dry","H1",0.074041431,0.9158302352713
"469","S4A01321_20180411_132324.wav","FLSP","NonCore","Dry","H1",0.024832417,0.307156115114321
"470","S4A01321_20180411_133419.wav","ShPk","NonCore","Dry","H1",0.047410072,0.586422720462943
"471","S4A01321_20180411_134850.wav","ChSh","NonCore","Dry","H1",0.051882127,0.64173827997443
