,SC_ID,Pkey,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning,Species,Sex,Lat,Lon,TBL,Region
46,HKSC110607,13,1,2.623,16.1,-14.5,2.7,7.7,2005,2006,2.851851852,U,HK,Juvenile,6,0,Y,SC,M,22.30211111,113.8981944,260,EPRE
47,HKSC110607,14,2,1.608,13.6,-14.6,2.6,8.4,2005,2007,3.230769231,U,HK,Juvenile,6,-2.5,Y,SC,M,22.30211111,113.8981944,260,EPRE
48,HKSC110607,15,3,1.45,14.1,-14.1,2.8,7.8,2005,2008,2.785714286,U,HK,Juvenile,6,-2,Y,SC,M,22.30211111,113.8981944,260,EPRE
49,HKSC110607,16,4,0.895,14,-14.2,3.1,8.6,2005,2009,2.774193548,U,HK,Juvenile,6,-2.1,Y,SC,M,22.30211111,113.8981944,260,EPRE
50,HKSC110607,17,5,1.033,14.1,-14.6,3.2,8.8,2005,2010,2.75,U,HK,Juvenile,6,-2,Y,SC,M,22.30211111,113.8981944,260,EPRE
51,HKSC110607,18,6,1.435,14.1,-14.6,3.1,8.7,2005,2011,2.806451613,U,HK,Juvenile,6,-2,Y,SC,M,22.30211111,113.8981944,260,EPRE
52,HKSC111501,79,1,1.406,16.7,-14.4,2.8,7.8,2007,2008,2.785714286,U,HK,Juvenile,5,-0.7,Y,SC,M,22.28969444,113.9015833,198,EPRE
53,HKSC111501,80,2,1.627,15.5,-14.3,2.9,7.8,2007,2009,2.689655172,U,HK,Juvenile,5,-1.9,Y,SC,M,22.28969444,113.9015833,198,EPRE
54,HKSC111501,81,3,1.217,15.1,-13.8,2.9,7.8,2007,2010,2.689655172,U,HK,Juvenile,5,-2.3,Y,SC,M,22.28969444,113.9015833,198,EPRE
55,HKSC111501,82,4,0.628,14.3,-13.8,3,8.2,2007,2011,2.733333333,U,HK,Juvenile,5,-3.1,Y,SC,M,22.28969444,113.9015833,198,EPRE
56,HKSC120309,19,1,3.957,16.7,-14.4,2.2,6.3,1992,1993,2.863636364,U,HK,Juvenile,8,0,Y,SC,F,22.41080556,113.8784722,260,EPRE
57,HKSC120309,20,2,3.646,14.3,-14.4,2.3,6.5,1992,1994,2.826086957,U,HK,Juvenile,8,-2.4,Y,SC,F,22.41080556,113.8784722,260,EPRE
58,HKSC120309,21,3,3.516,14.2,-14.2,2.4,6.9,1992,1995,2.875,U,HK,Juvenile,8,-2.5,Y,SC,F,22.41080556,113.8784722,260,EPRE
59,HKSC120309,22,4,2.751,14,-14.2,2.2,6.3,1992,1996,2.863636364,U,HK,Juvenile,8,-2.7,Y,SC,F,22.41080556,113.8784722,260,EPRE
60,HKSC120309,23,5,2.083,14.1,-13.8,2.4,6.8,1992,1997,2.833333333,U,HK,Juvenile,8,-2.6,Y,SC,F,22.41080556,113.8784722,260,EPRE
61,HKSC120309,24,6,2.071,13.9,-14.2,2.3,6.6,1992,1998,2.869565217,U,HK,Juvenile,8,-2.8,Y,SC,F,22.41080556,113.8784722,260,EPRE
62,HKSC120309,25,7,1.425,13.7,-14,2.3,6.6,1992,1999,2.869565217,U,HK,Juvenile,8,-3,Y,SC,F,22.41080556,113.8784722,260,EPRE
63,HKSC120309,26,9,0.796,13.8,-13.8,2.5,7.1,1992,2001,2.84,U,HK,Juvenile,8,-2.9,Y,SC,F,22.41080556,113.8784722,260,EPRE
64,HKSC120507,56,1,0.892,16.3,-17.3,2.6,7,2006,2007,2.692307692,U,HK,Juvenile,5,0,Y,SC,F,22.24266667,113.0895,224,EPRE
65,HKSC120507,57,2,1.696,16.1,-17.5,2.3,6.3,2006,2008,2.739130435,U,HK,Juvenile,5,-0.2,Y,SC,F,22.24266667,113.0895,224,EPRE
66,HKSC120507,58,3,1.727,15.5,-17.3,2.4,6.6,2006,2009,2.75,U,HK,Juvenile,5,-0.8,Y,SC,F,22.24266667,113.0895,224,EPRE
67,HKSC120507,59,4,0.88,14.6,-17,1.1,3.1,2006,2010,2.818181818,U,HK,Juvenile,5,-1.7,Y,SC,F,22.24266667,113.0895,224,EPRE
68,HKSC120507,60,5,1.147,15.2,-17.2,2.6,7.2,2006,2011,2.769230769,U,HK,Juvenile,5,-1.1,Y,SC,F,22.24266667,113.0895,224,EPRE
69,HKSC130403,61,1,1.737,15.6,-13.2,2.2,6,1996,1997,2.727272727,U,HK,Juvenile,11,0,Y,SC,F,22.32,113.9533333,236,EPRE
70,HKSC130403,62,2,2.999,14,-15.9,2.8,7.7,1996,1998,2.75,U,HK,Juvenile,11,-1.6,Y,SC,F,22.32,113.9533333,236,EPRE
71,HKSC130403,63,5,1.342,13.5,-13.5,2.7,7.4,1996,2001,2.740740741,U,HK,Juvenile,11,-2.1,Y,SC,F,22.32,113.9533333,236,EPRE
72,HKSC130403,64,6,1.164,13.1,-13.7,2.7,7.6,1996,2002,2.814814815,U,HK,Juvenile,11,-2.5,Y,SC,F,22.32,113.9533333,236,EPRE
73,HKSC130403,65,7,1.167,13.4,-13.4,2.7,7.6,1996,2003,2.814814815,U,HK,Juvenile,11,-2.2,Y,SC,F,22.32,113.9533333,236,EPRE
74,HKSC130403,66,8,1.152,13.8,-13.7,2.6,7.3,1996,2004,2.807692308,U,HK,Juvenile,11,-1.8,Y,SC,F,22.32,113.9533333,236,EPRE
75,HKSC130403,67,9,1.113,13.9,-13.5,2.6,7.3,1996,2005,2.807692308,U,HK,Juvenile,11,-1.7,Y,SC,F,22.32,113.9533333,236,EPRE
76,HKSC130403,68,10,0.95,13.6,-13.6,2.7,7.5,1996,2006,2.777777778,U,HK,Juvenile,11,-2,Y,SC,F,22.32,113.9533333,236,EPRE
77,HKSC130403,69,11,1.025,13.5,-14.2,2.7,7.4,1996,2007,2.740740741,U,HK,Adult,11,-2.1,Y,SC,F,22.32,113.9533333,236,EPRE
78,HKSC130403,70,12,0.571,13.1,-13.9,2.8,7.7,1996,2008,2.75,U,HK,Adult,11,-2.5,Y,SC,F,22.32,113.9533333,236,EPRE
79,HKSC130403,71,13,0.687,13.8,-14,2.7,7.4,1996,2009,2.740740741,U,HK,Adult,11,-1.8,Y,SC,F,22.32,113.9533333,236,EPRE
80,HKSC132405,86,1,1.17,15,-15.8,2.8,7.5,1997,1998,2.678571429,U,HK,Juvenile,13,0,Y,SC,M,22.40130556,113.9141667,246,EPRE
81,HKSC132405,87,2,1.903,13.9,-16.1,2.7,7.4,1997,1999,2.740740741,U,HK,Juvenile,13,-1.1,Y,SC,M,22.40130556,113.9141667,246,EPRE
