,Pkey,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear,CNRatio,CNR,Site,AgeClass,sample_per_ID,Net_d15N,Weaning
277,491,HKSC142401,EPRE,10,0.73,13.6,-13.6,2.12,6.57,1997,2007,3.099056604,U,HK,Adult,14,-1.4,Y
278,492,HKSC142401,EPRE,11,0.178,11.4,-15.4,2.47,7.66,1997,2008,3.101214575,U,HK,Adult,14,-3.6,Y
279,493,HKSC142401,EPRE,12,0.581,13.4,-13.5,2.33,6.84,1997,2009,2.935622318,U,HK,Adult,14,-1.6,Y
280,494,HKSC142401,EPRE,13,0.479,13.2,-14.7,2.2,6.95,1997,2010,3.159090909,U,HK,Adult,14,-1.8,Y
281,495,HKSC142401,EPRE,14,0.45,13.4,-12.9,2.31,6.86,1997,2011,2.96969697,U,HK,Adult,14,-1.6,Y
307,535,HKSC150210_Hope,EPRE,1,0.607,14.8,-14.9,2.81,8.24,1986,1987,2.932384342,U,HK,Juvenile,19,0,Y
308,536,HKSC150210_Hope,EPRE,10,0.558,13,-14.5,2.94,8.49,1986,1996,2.887755102,U,HK,Adult,19,-1.8,Y
309,537,HKSC150210_Hope,EPRE,11,0.653,12.9,-14.5,3.05,8.86,1986,1997,2.904918033,U,HK,Adult,19,-1.9,Y
310,538,HKSC150210_Hope,EPRE,12,0.597,12.8,-14.8,3.02,8.75,1986,1998,2.897350993,U,HK,Adult,19,-2,Y
311,539,HKSC150210_Hope,EPRE,13,0.49,12.8,-14.7,3.25,9.29,1986,1999,2.858461538,U,HK,Adult,19,-2,Y
312,540,HKSC150210_Hope,EPRE,14,0.514,12.6,-14.7,3.27,9.48,1986,2000,2.899082569,U,HK,Adult,19,-2.2,Y
313,541,HKSC150210_Hope,EPRE,15,0.508,12.4,-14.7,3.26,9.63,1986,2001,2.95398773,U,HK,Adult,19,-2.4,Y
314,542,HKSC150210_Hope,EPRE,16,0.407,12.5,-14.5,3.37,9.65,1986,2002,2.863501484,U,HK,Adult,19,-2.3,Y
315,543,HKSC150210_Hope,EPRE,17,0.329,10.7,-15.1,3.6,10.51,1986,2003,2.919444444,U,HK,Adult,19,-4.1,Y
316,544,HKSC150210_Hope,EPRE,18,0.413,11.2,-15,3.32,9.65,1986,2004,2.906626506,U,HK,Adult,19,-3.6,Y
317,545,HKSC150210_Hope,EPRE,19,0.302,11.3,-15.2,3.8,10.95,1986,2005,2.881578947,U,HK,Adult,19,-3.5,Y
318,546,HKSC150210_Hope,EPRE,2,0.831,14,-15.1,2.56,7.61,1986,1988,2.97265625,U,HK,Juvenile,19,-0.8,Y
