Pkey,Date,League,H,D,A,FH,FD,FA,HandH,HandA,Hand_H,Hand_A,HHH,HHD,HHA,HH_H,HH_A,Hilo,Hi,Lo,F_Hilo,F_Hi,F_Lo,H_Mean,H_SD,H_CV,D_Mean,D_SD,D_CV,A_Mean,A_SD,A_CV,Num,H_Prob,D_Prob,A_Prob,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,Stat
31,20190718,93,1.92,3.3,3.35,2.5,2.15,3.8,NaN,NaN,NaN,NaN,3.6,3.65,1.73,[-1],[+1],2.5/2.5,1.78,1.92,1.5/1.5,2.65,1.42,2.02,0.04,0.02,3.53,0.12,0.03,3.13,0.12,0.04,2,50%,50%,0%,0,1,2,1,1,3,A,H,6.66
32,20190719,72,6,4.7,1.34,5.7,2.5,1.8,NaN,NaN,NaN,NaN,2.85,3.6,2,[+1],[-1],2.5/2.5,1.43,2.6,1.5/1.5,1.95,1.75,8.27,2.09,0.25,5.35,0.73,0.14,1.29,0.08,0.06,0,0%,0%,0%,0,0,1,0,0,1,D,H,13.62
33,20190719,72,1.7,3.55,3.9,2.25,2.2,4.3,NaN,NaN,NaN,NaN,3,3.45,1.97,[-1],[+1],2.5/2.5,1.72,2,1.5/1.5,2.5,1.46,2.26,0.18,0.08,3.31,0.11,0.03,2.86,0.28,0.1,23,57%,17%,26%,0,0,1,0,0,1,D,H,6.17
34,20190719,36,1.4,4.05,6.2,1.88,2.32,6,NaN,NaN,NaN,NaN,2.25,3.4,2.57,[-1],[+1],2.5/3.0,1.85,1.85,1.5/1.5,2.35,1.52,1.44,0.04,0.03,4.24,0.18,0.04,6.05,0.77,0.13,2,50%,0%,50%,1,0,4,0,1,4,H,H,10.29
35,20190719,69,2.65,2.45,2.95,3.55,1.7,3.85,1.85,1.99,[+0.0/+0.0],[-0.0/-0.0],7.1,3.65,1.4,[-1],[+1],1.5/2.0,1.75,1.95,0.5/1.0,1.93,1.77,2.62,0.14,0.05,2.9,0.12,0.04,2.91,0.16,0.05,7,71%,14%,14%,0,1,0,1,1,1,A,A,5.81
36,20190719,124,2.3,3,2.82,3,2,3.4,2.1,1.76,[+0.0/-0.5],[-0.0/+0.5],4.8,3.8,1.52,[-1],[+1],3.5/3.5,3.7,1.23,1.0/1.5,2.35,1.52,2.32,0.12,0.05,3.25,0.14,0.04,2.85,0.1,0.04,195,37%,28%,34%,1,1,1,3,2,4,D,A,6.11
37,20190719,72,2.22,3.55,2.55,2.8,2.27,3,NaN,NaN,NaN,NaN,1.43,4.45,4.8,[+1],[-1],2.5/2.5,1.46,2.5,1.5/1.5,2.1,1.65,2.02,0.08,0.04,3.69,0.18,0.05,3.04,0.17,0.06,5,60%,40%,0%,1,1,2,3,2,5,D,A,6.74
38,20190719,79,3.9,4,1.62,4.15,2.5,2.05,1.87,1.95,[+0.5/+1.0],[-0.5/-1.0],2.12,3.7,2.58,[+1],[-1],2.5/2.5,1.4,2.7,1.5/2.0,2.5,1.46,3.42,0.32,0.09,3.94,0.21,0.05,1.89,0.11,0.06,2,100%,0%,0%,1,1,3,2,2,5,D,H,7.36
39,20190719,124,1.8,3.25,3.85,2.4,2.05,4.5,NaN,NaN,NaN,NaN,3.45,3.35,1.85,[-1],[+1],2.5/2.5,2.05,1.68,1.5/1.5,2.97,1.34,1.92,0.09,0.05,3.38,0.1,0.03,3.69,0.34,0.09,146,47%,32%,21%,0,0,1,0,0,1,D,H,7.07
40,20190720,55,1.79,3.55,3.5,2.2,2.27,4.3,1.97,1.87,[-0.5/-1.0],[+0.5/+1.0],2.9,3.45,2.03,[-1],[+1],2.5/3.0,2.08,1.66,1.5/1.5,2.6,1.43,1.77,0.06,0.04,3.62,0.17,0.05,4.15,0.2,0.05,46,57%,17%,26%,2,1,5,2,3,7,H,H,7.77
41,20190720,55,2.5,3.9,2.15,3.05,2.4,2.6,2.07,1.78,[+0.0/+0.0],[-0.0/-0.0],1.6,4.05,3.9,[+1],[-1],3.0/3.5,1.8,1.9,1.0/1.5,1.8,1.9,2.51,0.09,0.04,3.64,0.17,0.05,2.43,0.11,0.05,4,75%,0%,25%,0,1,0,2,1,2,A,A,6.16
42,20190720,55,4.4,3.25,1.7,5.4,1.9,2.4,1.77,2.09,[+0.5/+1.0],[-0.5/-1.0],2,3.15,3.2,[+1],[-1],2.5/2.5,2.4,1.5,0.5/1.0,1.83,1.87,3.96,0.24,0.06,3.22,0.13,0.04,1.92,0.09,0.05,16,38%,6%,56%,0,0,2,2,0,4,D,D,7.19
43,20190720,55,1.87,3.8,3.1,2.4,2.3,3.6,1.76,2.1,[+0.0/-0.5],[-0.0/+0.5],3.3,3.7,1.8,[-1],[+1],2.5/2.5,1.55,2.29,0.5/1.0,1.42,2.65,1.99,0.07,0.04,3.52,0.17,0.05,3.37,0.14,0.04,40,48%,28%,25%,2,1,2,2,3,4,H,D,6.89
44,20190720,87,1.45,3.85,5.75,2.05,2.1,6.1,NaN,NaN,NaN,NaN,2.4,3.2,2.5,[-1],[+1],2.5/2.5,1.98,1.73,1.5/1.5,3.2,1.3,1.59,0.05,0.03,3.64,0.12,0.03,5.35,0.34,0.06,52,58%,15%,27%,0,1,2,1,1,3,A,H,8.99
45,20190720,87,2.15,3.45,2.7,2.8,2.1,3.4,2.01,1.82,[+0.0/-0.5],[-0.0/+0.5],4.1,3.85,1.6,[-1],[+1],3.5/3.5,3.25,1.29,1.5/1.5,2.88,1.36,2.31,0.07,0.03,3.25,0.1,0.03,2.86,0.09,0.03,120,41%,24%,35%,1,0,3,0,1,3,H,H,6.11
46,20190720,87,3,3.45,2,3.7,2.08,2.65,NaN,NaN,NaN,NaN,1.7,3.65,3.75,[+1],[-1],2.5/2.5,1.85,1.85,1.5/1.5,3,1.33,3.06,0.16,0.05,3.35,0.13,0.04,2.16,0.14,0.07,26,31%,12%,58%,0,0,1,0,0,1,D,H,6.41
47,20190720,93,3.15,3.4,1.95,3.8,2.12,2.55,2,1.78,[+0.0/+0.5],[-0.0/-0.5],1.7,3.75,3.65,[+1],[-1],3.5/3.5,3.2,1.3,1.5/2.0,3.3,1.28,3.13,0.29,0.09,3.38,0.14,0.04,2.18,0.28,0.13,4,25%,0%,75%,1,0,1,0,1,1,H,H,6.51
48,20190720,55,1.57,3.6,4.8,2.13,2.12,5.4,1.85,1.99,[-0.5/-1.0],[+0.5/+1.0],2.77,3.2,2.2,[-1],[+1],2.5/2.5,2.07,1.67,1.0/1.5,2.7,1.4,1.63,0.05,0.03,3.63,0.2,0.05,5.2,0.52,0.1,36,42%,44%,14%,2,1,2,1,3,3,H,H,8.82
49,20190720,55,1.63,3.6,4.3,2.2,2.07,5.25,1.99,1.85,[-0.5/-1.0],[+0.5/+1.0],2.95,3.25,2.07,[-1],[+1],2.0/2.5,1.78,1.92,1.0/1.5,2.68,1.41,1.74,0.04,0.03,3.54,0.16,0.05,4.46,0.25,0.06,61,43%,31%,26%,0,0,0,0,0,0,D,D,8
50,20190720,55,2.48,3.15,2.48,3.4,1.86,3.4,1.9,1.94,[+0.0/+0.0],[-0.0/-0.0],5.35,3.9,1.46,[-1],[+1],3.5/3.5,4.4,1.17,0.5/1.0,1.75,1.95,2.59,0.12,0.05,3.11,0.13,0.04,2.66,0.1,0.04,78,39%,19%,42%,0,3,1,3,3,4,A,A,5.77
51,20190720,55,2.9,3.45,2.05,3.8,2.05,2.65,1.91,1.93,[+0.0/+0.5],[-0.0/-0.5],1.66,3.7,3.9,[+1],[-1],2.5/2.5,1.83,1.87,0.5/1.0,1.55,2.29,3,0.19,0.06,3.3,0.13,0.04,2.24,0.1,0.04,89,27%,28%,45%,0,2,0,2,2,2,A,A,6.31
