Pkey,Date,League,H,D,A,FH,FD,FA,HandH,HandA,Hand_H,Hand_A,HHH,HHD,HHA,HH_H,HH_A,Hilo,Hi,Lo,F_Hilo,F_Hi,F_Lo,H_Mean,H_SD,H_CV,D_Mean,D_SD,D_CV,A_Mean,A_SD,A_CV,Num,H_Prob,D_Prob,A_Prob,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,Stat
147,20190724,71,1.95,2.8,3.95,2.7,1.83,4.7,NaN,NaN,NaN,NaN,4.2,3.25,1.72,[-1],[+1],1.5/2.0,1.72,2,0.5/1.0,1.85,1.85,1.75,0.11,0.06,3.28,0.22,0.07,4.96,0.67,0.13,21,67%,24%,10%,0,0,0,0,0,0,D,D,8.24
148,20190724,144,3.7,3.65,1.72,4,2.3,2.25,NaN,NaN,NaN,NaN,1.96,3.65,2.9,[+1],[-1],2.5/2.5,1.57,2.25,1.5/1.5,2.3,1.54,3.63,0.29,0.08,3.73,0.17,0.05,1.88,0.12,0.07,3,100%,0%,0%,1,1,1,2,2,3,D,A,7.37
149,20190724,71,2.15,2.78,3.35,2.95,1.78,4.4,1.88,1.88,[+0.0/-0.5],[-0.0/+0.5],4.75,3.4,1.6,[-1],[+1],2.5/2.5,2.7,1.4,1.5/1.5,3.6,1.24,2.28,0.14,0.06,3.07,0.14,0.04,3.16,0.31,0.1,39,33%,33%,33%,0,0,0,1,0,1,D,A,6.23
150,20190724,71,3.6,2.8,2.05,4.5,1.82,2.8,1.95,1.82,[+0.0/+0.5],[-0.0/-0.5],1.65,3.35,4.45,[+1],[-1],1.5/2.0,1.7,2.02,0.5/1.0,1.85,1.85,3.13,0.41,0.13,2.98,0.13,0.04,2.39,0.22,0.09,16,31%,31%,38%,1,0,2,0,1,2,H,H,6.11
151,20190724,106,2.48,2.82,2.75,3.25,1.85,3.55,1.79,1.98,[+0.0/+0.0],[-0.0/-0.0],5.6,3.8,1.46,[-1],[+1],2.5/2.5,2.45,1.48,1.5/1.5,3.55,1.25,2.55,0.08,0.03,2.91,0.1,0.03,2.83,0.1,0.03,16,44%,31%,25%,0,1,0,1,1,1,A,A,5.74
152,20190724,93,3.15,3.25,2.02,3.75,2.1,2.6,NaN,NaN,NaN,NaN,1.67,3.6,4,[+1],[-1],2.5/2.5,1.9,1.8,1.5/1.5,2.82,1.37,3.11,0.33,0.11,3.26,0.25,0.08,2.19,0.26,0.12,8,25%,0%,75%,0,0,0,1,0,1,D,A,6.37
153,20190725,144,2.4,3.45,2.4,3,2.17,3,1.87,1.89,[+0.0/+0.0],[-0.0/-0.0],4.7,4.25,1.47,[-1],[+1],2.5/2.5,1.62,2.15,1.5/1.5,2.35,1.52,2.58,0.15,0.06,3.45,0.13,0.04,2.49,0.11,0.05,8,13%,38%,50%,0,1,1,2,1,3,A,A,6.03
154,20190725,7,1.95,3.1,3.5,2.6,2,4.1,NaN,NaN,NaN,NaN,3.9,3.45,1.72,[-1],[+1],2.5/2.5,2.19,1.6,1.5/1.5,3.05,1.32,2.09,0.09,0.04,3.22,0.12,0.04,3.32,0.25,0.08,60,40%,33%,27%,0,0,3,0,0,3,D,H,6.54
155,20190725,7,1.21,5.1,10,1.64,2.55,8,NaN,NaN,NaN,NaN,1.7,3.75,3.65,[-1],[+1],2.5/2.5,1.6,2.19,1.5/1.5,2.33,1.53,1.17,0.05,0.04,6.65,0.91,0.14,12.26,2.04,0.17,5,80%,20%,0%,0,1,1,1,1,2,A,D,18.91
156,20190725,7,2.75,3.05,2.33,3.55,1.93,3.05,2.04,1.74,[+0.0/+0.0],[-0.0/-0.0],1.5,3.8,5,[+1],[-1],2.5/2.5,2.15,1.62,1.5/1.5,3,1.33,2.42,0.19,0.08,3.24,0.12,0.04,2.73,0.23,0.09,83,36%,33%,31%,0,0,2,0,0,2,D,H,5.97
157,20190725,7,1.58,3.6,4.7,2.15,2.2,4.8,NaN,NaN,NaN,NaN,2.65,3.4,2.18,[-1],[+1],2.5/2.5,1.8,1.9,1.5/1.5,2.6,1.43,1.59,0.04,0.03,3.79,0.15,0.04,5,0.35,0.07,34,62%,32%,6%,0,0,0,0,0,0,D,D,8.79
158,20190725,7,1.47,3.7,5.8,2,2.17,6,NaN,NaN,NaN,NaN,2.42,3.25,2.45,[-1],[+1],2.5/2.5,1.9,1.8,1.5/1.5,2.75,1.39,1.31,0.06,0.04,5,0.67,0.13,7.91,0.97,0.12,4,25%,75%,0%,1,1,3,1,2,4,D,H,12.91
159,20190725,7,1.001,20,60,1.12,4.8,35,NaN,NaN,NaN,NaN,1.65,4.75,3.2,[-3],[+3],4.5/4.5,2.05,1.68,1.5/1.5,1.57,2.25,1.08,0.05,0.04,9.72,3.12,0.32,21.21,10.86,0.51,1,100%,0%,0%,1,0,2,0,1,2,H,H,30.93
160,20190725,7,1.1,6.4,18,1.47,2.7,13,NaN,NaN,NaN,NaN,2.38,3.85,2.23,[-2],[+2],2.5/2.5,1.63,2.13,1.5/1.5,2.35,1.52,1.23,0.05,0.04,5.99,0.54,0.09,8.95,2.26,0.25,0,0%,0%,0%,2,0,3,0,2,3,H,H,14.95
161,20190725,7,1.01,13,40,1.21,3.9,22,NaN,NaN,NaN,NaN,2.12,4.4,2.33,[-3],[+3],3.5/3.5,1.7,2.02,1.5/1.5,1.77,1.93,1.07,0.02,0.02,9.96,1.5,0.15,21.16,9.27,0.44,0,0%,0%,0%,0,0,4,0,0,4,D,H,31.12
162,20190725,71,1.42,3.5,7.5,2.05,2,7.2,1.94,1.82,[-1.0/-1.0],[+1.0/+1.0],2.5,2.95,2.58,[-1],[+1],2.5/2.5,2.55,1.45,1.5/1.5,3.6,1.24,1.54,0.04,0.03,3.55,0.15,0.04,6.49,0.52,0.08,7,57%,0%,43%,0,0,2,0,0,2,D,H,10.05
163,20190725,106,1.21,4.7,12,1.75,2.2,9.75,NaN,NaN,NaN,NaN,1.87,3.2,3.55,[-1],[+1],2.5/2.5,2.1,1.65,1.5/1.5,3.12,1.31,1.29,0.03,0.02,4.7,0.27,0.06,10.5,1.6,0.15,2,50%,50%,0%,1,0,2,0,1,2,H,H,15.2
164,20190725,106,1.34,3.95,8,1.92,2.12,7.3,NaN,NaN,NaN,NaN,2.22,3.1,2.82,[-1],[+1],2.5/2.5,2.2,1.59,1.5/1.5,3.25,1.29,1.39,0.03,0.02,4.13,0.19,0.05,8.07,0.93,0.12,18,67%,11%,22%,0,0,1,0,0,1,D,H,12.2
165,20190726,72,3.65,3.6,1.75,4.15,2.25,2.25,NaN,NaN,NaN,NaN,1.9,3.6,3.05,[+1],[-1],2.5/3.0,1.85,1.85,1.5/1.5,2.4,1.5,3.63,0.27,0.07,3.56,0.14,0.04,1.84,0.08,0.04,5,20%,40%,40%,1,3,2,6,4,8,A,A,7.18
166,20190726,122,1.6,3.4,4.9,2.22,2.07,5.1,1.91,1.93,[-0.5/-1.0],[+0.5/+1.0],2.85,3.2,2.15,[-1],[+1],2.0/2.5,1.85,1.85,1.5/1.5,3,1.33,1.74,0.07,0.04,3.43,0.13,0.04,4.67,0.29,0.06,40,55%,23%,23%,2,0,2,0,2,2,H,H,8.1
167,20190726,103,2.6,2.78,2.65,3.35,1.82,3.55,NaN,NaN,NaN,NaN,6.2,3.9,1.41,[-1],[+1],2.5/2.5,2.48,1.47,1.5/1.5,3.55,1.25,2.6,0.08,0.03,2.89,0.1,0.03,2.84,0.09,0.03,138,37%,29%,34%,1,0,2,2,1,4,H,D,5.73
168,20190726,103,2.32,2.95,2.82,3,1.9,3.7,NaN,NaN,NaN,NaN,5,3.75,1.51,[-1],[+1],2.5/2.5,2.19,1.6,1.5/1.5,3.2,1.3,2.62,0.09,0.03,3.05,0.1,0.03,2.69,0.09,0.03,119,35%,32%,33%,0,0,1,0,0,1,D,H,5.74
169,20190726,103,1.87,3.05,3.85,2.52,1.98,4.4,NaN,NaN,NaN,NaN,3.75,3.35,1.78,[-1],[+1],2.5/2.5,2.2,1.59,1.5/1.5,3.2,1.3,1.87,0.05,0.03,3.28,0.12,0.04,4.15,0.25,0.06,122,58%,28%,14%,1,0,3,0,1,3,H,H,7.43
170,20190726,103,1.65,3.25,4.75,2.25,2.02,5.3,NaN,NaN,NaN,NaN,3.05,3.25,2.03,[-1],[+1],2.5/2.5,2.1,1.65,1.5/1.5,3.05,1.32,1.81,0.05,0.03,3.31,0.12,0.04,4.41,0.29,0.07,124,57%,25%,19%,2,0,3,3,2,6,H,D,7.72
171,20190726,103,2.15,2.95,3.15,2.92,1.9,3.85,NaN,NaN,NaN,NaN,4.6,3.65,1.57,[-1],[+1],2.5/2.5,2.19,1.6,1.5/1.5,3.2,1.3,1.98,0.05,0.03,3.15,0.12,0.04,3.85,0.21,0.06,201,46%,29%,25%,0,0,0,0,0,0,D,D,7
172,20190726,103,2.85,2.9,2.35,3.65,1.85,3.2,1.71,2.18,[+0.0/+0.5],[-0.0/-0.5],1.5,3.65,5.35,[+1],[-1],2.5/2.5,2.35,1.52,1.5/1.5,3.4,1.27,2.83,0.09,0.03,2.95,0.11,0.04,2.56,0.09,0.03,112,25%,37%,38%,0,1,0,2,1,2,A,A,5.78
173,20190726,103,2.65,2.82,2.55,3.5,1.85,3.3,NaN,NaN,NaN,NaN,1.42,3.9,6,[+1],[-1],2.5/2.5,2.4,1.5,1.5/1.5,3.45,1.26,2.65,0.08,0.03,2.95,0.11,0.04,2.73,0.09,0.03,124,36%,32%,33%,2,0,2,0,2,2,H,H,5.68
174,20190726,103,3.2,2.85,2.17,4.1,1.85,2.9,NaN,NaN,NaN,NaN,1.58,3.5,4.75,[+1],[-1],2.5/2.5,2.45,1.48,1.5/1.5,3.55,1.25,3.23,0.15,0.05,2.92,0.1,0.04,2.32,0.07,0.03,36,28%,31%,42%,0,0,0,0,0,0,D,D,6.15
175,20190726,33,1.32,4.6,6.7,1.77,2.6,5.6,1.89,1.87,[-1.0/-1.5],[+1.0/+1.5],2,3.6,2.85,[-1],[+1],3.0/3.5,2.02,1.7,1.5/1.5,2.1,1.65,1.48,0.04,0.03,4.36,0.19,0.04,5.6,0.34,0.06,9,56%,33%,11%,0,1,2,1,1,3,A,H,9.96
176,20190726,54,1.57,3.8,4.5,2.05,2.3,4.85,1.99,1.85,[-0.5/-1.0],[+0.5/+1.0],2.65,3.5,2.15,[-1],[+1],2.5/3.0,1.8,1.9,1.5/1.5,2.35,1.52,1.81,0.07,0.04,3.55,0.14,0.04,4.03,0.2,0.05,84,54%,29%,18%,2,1,2,1,3,3,H,H,7.58
177,20190726,144,2,3.45,3,2.6,2.2,3.45,1.83,1.93,[+0.0/-0.5],[-0.0/+0.5],3.6,3.75,1.7,[-1],[+1],2.5/3.0,1.82,1.88,1.5/2.0,3.02,1.33,2.13,0.09,0.04,3.61,0.13,0.04,3.03,0.16,0.05,8,63%,25%,13%,0,5,3,7,5,10,A,A,6.64
178,20190726,79,1.57,3.9,4.35,2.05,2.4,4.45,1.87,1.95,[-0.5/-1.0],[+0.5/+1.0],2.52,3.6,2.2,[-1],[+1],2.5/3.0,1.65,2.1,1.5/2.0,2.7,1.4,1.7,0.05,0.03,3.86,0.16,0.04,4.34,0.24,0.06,73,63%,16%,21%,1,0,3,1,1,4,H,H,8.2
179,20190726,94,1.54,3.35,5.65,2.15,2.02,5.9,NaN,NaN,NaN,NaN,2.72,3.15,2.25,[-1],[+1],2.5/2.5,2.2,1.59,1.5/1.5,3.25,1.29,1.58,0.04,0.03,3.57,0.13,0.04,6.02,0.44,0.07,57,65%,23%,12%,0,0,0,0,0,0,D,D,9.58
180,20190726,124,2.05,3.25,3.05,2.65,2.1,3.65,1.87,1.97,[+0.0/-0.5],[-0.0/+0.5],3.9,3.75,1.65,[-1],[+1],2.5/2.5,1.82,1.88,1.5/1.5,2.6,1.43,2,0.06,0.03,3.42,0.12,0.03,3.33,0.13,0.04,70,47%,26%,27%,0,0,0,1,0,1,D,A,6.75
181,20190726,123,1.72,3.35,4.1,2.35,2.05,4.7,NaN,NaN,NaN,NaN,3.15,3.35,1.95,[-1],[+1],2.5/2.5,2.02,1.7,1.5/1.5,3.05,1.32,1.91,0.11,0.06,3.31,0.09,0.03,3.8,0.3,0.08,88,48%,30%,23%,0,1,2,2,1,4,A,D,7.11
182,20190726,79,1.35,4.7,5.85,1.75,2.65,5.6,1.92,1.9,[-1.0/-1.5],[+1.0/+1.5],2.02,3.75,2.72,[-1],[+1],2.5/2.5,1.38,2.8,1.5/2.0,2.4,1.5,1.48,0.05,0.03,4.54,0.23,0.05,5.5,0.31,0.06,11,82%,9%,9%,4,2,4,3,6,7,H,H,10.04
183,20190726,124,4.55,3.65,1.59,4.7,2.25,2.12,NaN,NaN,NaN,NaN,2.15,3.4,2.7,[+1],[-1],2.5/2.5,1.7,2.02,1.5/1.5,2.45,1.48,3.4,0.26,0.08,3.41,0.15,0.04,1.99,0.11,0.05,16,6%,31%,63%,2,1,3,3,3,6,H,D,6.81
184,20190727,87,2.02,3.15,3.25,2.7,1.97,4,1.85,1.99,[+0.0/-0.5],[-0.0/+0.5],4.05,3.5,1.68,[-1],[+1],2.0/2.5,1.85,1.85,1.0/1.5,2.8,1.38,2.01,0.06,0.03,3.21,0.09,0.03,3.55,0.14,0.04,187,45%,34%,21%,1,0,1,2,1,3,H,A,6.75
185,20190727,87,2.7,3.5,2.15,3.35,2.15,2.75,1.82,2.02,[+0.0/+0.5],[-0.0/-0.5],1.6,3.85,4.1,[+1],[-1],3.5/3.5,2.92,1.35,1.5/1.5,2.7,1.4,2.77,0.1,0.04,3.32,0.12,0.03,2.33,0.07,0.03,27,33%,19%,48%,1,1,1,3,2,4,D,A,6.09
186,20190727,87,7,4,1.37,6.75,2.15,1.94,2.02,1.82,[+1.0/+1.0],[-1.0/-1.0],2.8,3.25,2.15,[+1],[-1],2.5/2.5,2,1.72,1.5/1.5,3.2,1.3,5.77,0.57,0.1,3.62,0.14,0.04,1.56,0.07,0.05,3,33%,0%,67%,1,1,1,2,2,3,D,A,9.4
188,20190727,55,1.38,4.2,6.25,1.88,2.28,6.3,2.14,1.73,[-1.0/-1.5],[+1.0/+1.5],2.28,3.3,2.6,[-1],[+1],2.5/3.0,2.02,1.7,1.0/1.5,2.3,1.54,1.47,0.05,0.03,4.06,0.18,0.04,6.37,0.42,0.07,21,67%,24%,10%,0,0,3,1,0,4,D,H,10.43
189,20190727,87,1.77,3.7,3.45,2.35,2.2,4.05,2.13,1.74,[-0.5/-1.0],[+0.5/+1.0],3.1,3.6,1.9,[-1],[+1],2.5/3.0,1.8,1.9,1.0/1.5,2.15,1.62,5.25,0.27,0.05,4.22,0.15,0.03,1.47,0.03,0.02,0,0%,0%,0%,0,0,1,0,0,1,D,H,9.47
190,20190727,87,1.65,3.9,3.85,2.2,2.3,4.2,NaN,NaN,NaN,NaN,2.75,3.6,2.05,[-1],[+1],3.5/3.5,2.55,1.45,1.5/1.5,2.45,1.48,1.88,0.09,0.05,3.55,0.14,0.04,3.62,0.26,0.07,6,17%,0%,83%,2,0,4,0,2,4,H,H,7.18
191,20190727,87,3.35,3.2,1.95,4.1,1.95,2.7,2.01,1.83,[+0.0/+0.5],[-0.0/-0.5],1.72,3.45,3.9,[+1],[-1],2.5/2.5,2.25,1.57,1.5/1.5,3.6,1.24,3.13,0.24,0.08,2.93,0.11,0.04,2.34,0.22,0.09,69,26%,28%,46%,1,0,1,1,1,2,H,D,6.06
192,20190727,87,3.45,3.2,1.92,4.3,1.93,2.65,NaN,NaN,NaN,NaN,1.75,3.4,3.8,[+1],[-1],2.5/2.5,2.1,1.65,1.5/1.5,3.4,1.27,3.37,0.16,0.05,3.14,0.09,0.03,2.1,0.09,0.04,114,21%,36%,43%,0,0,0,2,0,2,D,A,6.51
193,20190727,87,2.65,3.45,2.2,3.25,2.1,2.9,NaN,NaN,NaN,NaN,1.57,3.85,4.3,[+1],[-1],2.5/2.5,1.78,1.92,1.5/1.5,2.88,1.36,5.25,0.27,0.05,4.22,0.15,0.03,1.47,0.03,0.02,0,0%,0%,0%,0,2,1,2,2,3,A,A,9.47
194,20190727,87,1.39,4.2,6,1.9,2.3,6,NaN,NaN,NaN,NaN,2.15,3.4,2.7,[-1],[+1],2.5/2.5,1.72,2,1.5/1.5,2.75,1.39,1.53,0.05,0.03,3.84,0.15,0.04,5.74,0.38,0.07,28,71%,14%,14%,1,1,2,1,2,3,D,H,9.58
195,20190727,87,2.75,3,2.35,3.65,1.85,3.2,NaN,NaN,NaN,NaN,1.5,3.7,5.2,[+1],[-1],2.5/2.5,2.45,1.48,1.5/1.5,3.9,1.21,3.34,0.13,0.04,3.25,0.14,0.04,2.01,0.05,0.03,71,25%,34%,41%,0,1,3,1,1,4,A,H,6.59
196,20190727,87,2.45,3.25,2.45,3.1,2.07,3.1,1.98,1.86,[+0.0/+0.0],[-0.0/-0.0],5.05,4,1.47,[-1],[+1],2.5/2.5,1.92,1.78,1.5/1.5,3.12,1.31,2.39,0.13,0.06,3.21,0.1,0.03,2.79,0.22,0.08,159,37%,30%,34%,1,0,1,0,1,1,H,H,6
197,20190727,72,12,7.3,1.11,8.5,3.25,1.42,NaN,NaN,NaN,NaN,2.4,4.15,2.12,[+2],[-2],3.5/3.5,1.62,2.15,2.5/2.5,3.2,1.3,10.42,2.18,0.21,6.26,1.09,0.17,1.21,0.07,0.06,3,0%,0%,100%,0,0,1,3,0,4,D,A,16.68
198,20190727,122,2.18,2.95,3.05,3,1.85,3.95,2.02,1.82,[+0.0/-0.5],[-0.0/+0.5],4.6,3.6,1.58,[-1],[+1],2.0/2.5,2.02,1.7,1.5/1.5,3.3,1.28,2.35,0.07,0.03,3,0.11,0.04,3.08,0.11,0.03,62,40%,37%,23%,2,1,2,1,3,3,H,H,6.08
199,20190727,54,2.65,3.2,2.3,3.3,2.05,2.95,1.74,2.13,[+0.0/+0.5],[-0.0/-0.5],1.52,3.9,4.7,[+1],[-1],2.5/2.5,1.9,1.8,1.5/1.5,2.75,1.39,2.69,0.12,0.05,3.23,0.13,0.04,2.49,0.11,0.04,118,36%,31%,33%,0,0,0,1,0,1,D,A,5.92
200,20190727,72,1.66,3.8,3.85,2.15,2.4,4.05,1.96,1.81,[-0.5/-1.0],[+0.5/+1.0],2.75,3.7,2.02,[-1],[+1],2.5/2.5,1.48,2.45,1.0/1.5,1.95,1.75,1.67,0.04,0.03,3.86,0.18,0.05,4.26,0.28,0.07,6,67%,17%,17%,1,0,1,1,1,2,H,D,8.13
201,20190727,103,3.2,2.9,2.15,4.1,1.85,2.9,1.87,1.97,[+0.0/+0.5],[-0.0/-0.5],1.59,3.55,4.6,[+1],[-1],2.5/2.5,2.35,1.52,1.5/1.5,3.4,1.27,2.79,0.1,0.04,2.91,0.1,0.04,2.63,0.09,0.03,108,28%,36%,36%,1,0,1,2,1,3,H,A,5.69
202,20190727,122,4.65,3.4,1.63,4.7,2.1,2.27,NaN,NaN,NaN,NaN,2.1,3.25,2.9,[+1],[-1],2.5/2.5,2.05,1.68,1.5/1.5,2.95,1.34,4.66,0.32,0.07,3.43,0.15,0.04,1.74,0.08,0.04,24,33%,21%,46%,1,0,2,0,1,2,H,H,8.09
203,20190727,54,1.8,3.55,3.5,2.3,2.25,4,2.23,1.68,[-0.5/-1.0],[+0.5/+1.0],3.15,3.6,1.88,[-1],[+1],2.5/3.0,1.85,1.85,1.5/1.5,2.4,1.5,1.94,0.08,0.04,3.48,0.15,0.04,3.57,0.22,0.06,92,44%,33%,24%,0,1,1,1,1,2,A,D,7.05
204,20190727,54,2.3,3.15,2.7,2.95,2,3.45,1.77,2.09,[+0.0/+0.0],[-0.0/-0.0],4.7,3.85,1.53,[-1],[+1],2.5/2.5,2,1.72,1.5/1.5,2.82,1.37,2.56,0.11,0.04,3.17,0.13,0.04,2.66,0.11,0.04,159,38%,32%,31%,0,0,1,3,0,4,D,A,5.83
