League,H,D,A,FH,FD,FA,HandH,HandA,HHH,HHD,HHA,Hi,Lo,F_Hi_Odds,F_Lo_Odds,H_All,H_SD,H_CV,D_All,D_SD,D_CV,A_All,A_SD,A_CV,Num,H_per,D_per,A_per,Stat,F_HG,F_AG,HG,AG,Half_T,Full_T,Half_R,Full_R,F_Hilo,H_Hilo
72,2.22,3.55,2.55,2.8,2.27,3,NaN,NaN,1.43,4.45,4.8,1.46,2.5,2.1,1.65,2.02,0.08,0.04,3.69,0.18,0.05,3.04,0.17,0.06,5, 0.60 , 0.40 , -   ,6.7,1,1,2,3,2,5,D,A,B,B
79,3.9,4,1.62,4.15,2.5,2.05,1.87,1.95,2.12,3.7,2.58,1.4,2.7,2.5,1.46,3.42,0.32,0.09,3.94,0.21,0.05,1.89,0.11,0.06,2, 1.00 , -   , -   ,7.4,1,1,3,2,2,5,D,H,B,B
124,1.8,3.25,3.85,2.4,2.05,4.5,NaN,NaN,3.45,3.35,1.85,2.05,1.68,2.97,1.34,1.92,0.09,0.05,3.38,0.1,0.03,3.69,0.34,0.09,146, 0.47 , 0.32 , 0.21 ,7.1,0,0,1,0,0,1,D,H,S,S
55,1.79,3.55,3.5,2.2,2.27,4.3,1.97,1.87,2.9,3.45,2.03,2.08,1.66,2.6,1.43,1.77,0.06,0.04,3.62,0.17,0.05,4.15,0.2,0.05,46, 0.57 , 0.17 , 0.26 ,7.8,2,1,5,2,3,7,H,H,B,B
55,2.5,3.9,2.15,3.05,2.4,2.6,2.07,1.78,1.6,4.05,3.9,1.8,1.9,1.8,1.9,2.51,0.09,0.04,3.64,0.17,0.05,2.43,0.11,0.05,4, 0.75 , -   , 0.25 ,6.2,0,1,0,2,1,2,A,A,S,S
55,4.4,3.25,1.7,5.4,1.9,2.4,1.77,2.09,2,3.15,3.2,2.4,1.5,1.83,1.87,3.96,0.24,0.06,3.22,0.13,0.04,1.92,0.09,0.05,16, 0.38 , 0.06 , 0.56 ,7.2,0,0,2,2,0,4,D,D,B,S
55,1.87,3.8,3.1,2.4,2.3,3.6,1.76,2.1,3.3,3.7,1.8,1.55,2.29,1.42,2.65,1.99,0.07,0.04,3.52,0.17,0.05,3.37,0.14,0.04,40, 0.48 , 0.28 , 0.25 ,6.9,2,1,2,2,3,4,H,D,B,B
87,1.45,3.85,5.75,2.05,2.1,6.1,NaN,NaN,2.4,3.2,2.5,1.98,1.73,3.2,1.3,1.59,0.05,0.03,3.64,0.12,0.03,5.35,0.34,0.06,52, 0.58 , 0.15 , 0.27 ,9,0,1,2,1,1,3,A,H,B,S
87,2.15,3.45,2.7,2.8,2.1,3.4,2.01,1.82,4.1,3.85,1.6,3.25,1.29,2.88,1.36,2.31,0.07,0.03,3.25,0.1,0.03,2.86,0.09,0.03,120, 0.41 , 0.24 , 0.35 ,6.1,1,0,3,0,1,3,H,H,B,S
87,3,3.45,2,3.7,2.08,2.65,NaN,NaN,1.7,3.65,3.75,1.85,1.85,3,1.33,3.06,0.16,0.05,3.35,0.13,0.04,2.16,0.14,0.07,26, 0.31 , 0.12 , 0.58 ,6.4,0,0,1,0,0,1,D,H,S,S
93,3.15,3.4,1.95,3.8,2.12,2.55,2,1.78,1.7,3.75,3.65,3.2,1.3,3.3,1.28,3.13,0.29,0.09,3.38,0.14,0.04,2.18,0.28,0.13,4, 0.25 , -   , 0.75 ,6.5,1,0,1,0,1,1,H,H,S,S
55,1.57,3.6,4.8,2.13,2.12,5.4,1.85,1.99,2.77,3.2,2.2,2.07,1.67,2.7,1.4,1.63,0.05,0.03,3.63,0.2,0.05,5.2,0.52,0.1,36, 0.42 , 0.44 , 0.14 ,8.8,2,1,2,1,3,3,H,H,B,B
55,1.63,3.6,4.3,2.2,2.07,5.25,1.99,1.85,2.95,3.25,2.07,1.78,1.92,2.68,1.41,1.74,0.04,0.03,3.54,0.16,0.05,4.46,0.25,0.06,61, 0.43 , 0.31 , 0.26 ,8,0,0,0,0,0,0,D,D,S,S
55,2.48,3.15,2.48,3.4,1.86,3.4,1.9,1.94,5.35,3.9,1.46,4.4,1.17,1.75,1.95,2.59,0.12,0.05,3.11,0.13,0.04,2.66,0.1,0.04,78, 0.39 , 0.19 , 0.42 ,5.8,0,3,1,3,3,4,A,A,B,B
