Pkey,Label,PlasticType,PlasticID,PlasticShape,Area,Perim.,Length,FeretX,FeretY,FeretAngle,MinFeret,Location
91,TS_S13,PET,PET_11,Fragment,50006.72,1224.401,403.64,3095.6,9116.4,129.289,257.475,TS
92,TS_S13,PET,PET_2,Fibre,55652.64,2896.31,1242.155,4799.6,3436.4,169.461,214.537,TS
93,TS_S13,PET,PET_3,Fibre,98400.32,5070.857,2696.106,1192.8,3464.8,100.784,595.863,TS
94,TS_S13,PET,PET_4,Fragment,1613.12,137.127,63.504,2414,3890.8,116.565,28.4,TS
95,TS_S13,PET,PET_5,Fragment,13711.52,869.819,409.591,1391.6,4771.2,33.69,79.85,TS
96,TS_S13,PET,PET_6,Fragment,16131.2,685.637,296.505,994,4970,16.699,120.193,TS
97,TS_S13,PET,PET_7,Fibre,25809.92,1193.982,523.67,8264.4,6191.2,167.471,133.066,TS
98,TS_S13,PET,PET_8,Fragment,1613.12,137.127,63.504,5310.8,8236,116.565,28.4,TS
99,TS_S13,PET,PET_9,Fragment,806.56,80.327,40.164,5396,8292.8,135,28.4,TS
100,TS_S13,PP,PP_1,Fragment,7259.04,354.582,165.599,5452.8,198.8,30.964,85.2,TS
101,TS_S13,PP,PP_10,Fragment,4032.8,331.055,152.939,8548.4,8946,111.801,53.967,TS
102,TS_S13,PP,PP_2,Fragment,4032.8,274.255,127.009,5367.6,255.6,63.435,56.8,TS
103,TS_S13,PP,PP_3,Fragment,39521.44,1097.019,449.043,1022.4,4458.8,108.435,156.311,TS
104,TS_S13,PP,PP_4,Fragment,806.56,80.327,40.164,823.6,4544,135,28.4,TS
105,TS_S13,PP,PP_5,Fragment,806.56,80.327,40.164,1249.6,4657.6,135,28.4,TS
106,TS_S13,PP,PP_6,Fragment,5645.92,297.782,120.491,8804,5623.2,135,85.2,TS
107,TS_S13,PP,PP_7,Fragment,4032.8,257.618,127.009,4402,7213.6,153.435,56.8,TS
108,TS_S13,PP,PP_8,Fragment,3226.24,200.818,89.809,3408,7497.6,161.565,56.8,TS
109,TS_S13,PP,PP_9,Fragment,4032.8,200.818,102.398,9514,8548.4,33.69,56.8,TS
110,TS_S13,PS,PS_1,Fragment,8872.16,314.418,142,4089.6,113.6,53.13,85.2,TS
111,TS_S13,PS,PS_2,Fragment,2419.68,193.927,89.809,3834,568,108.435,28.4,TS
112,TS_S13,PS,PS_3,Fragment,2419.68,193.927,89.809,3890.8,624.8,108.435,28.4,TS
113,TS_S13,PS,PS_4,Fragment,28229.6,929.473,281.146,908.8,3294.4,135,198.8,TS
114,TS_S13,PS,PS_5,Fibre,25003.36,1047.11,426,482.8,3777.2,143.13,165.313,TS
115,TS_S13,PS,PS_6,Fragment,9678.72,434.909,190.513,6134.4,4373.6,26.565,105.695,TS
116,TS_S13,PS,PS_7,Fibre,34682.08,1274.31,548.495,5566.4,4345.2,158.749,154.286,TS
117,TS_S13,PS,PS_8,Fragment,8065.6,387.855,172.75,3379.6,8576.8,99.462,56.8,TS
118,TS_S14,PP,PP_1,Fragment,93560.96,1652.419,575.056,6020.8,1732.4,32.905,322.365,TS
119,TS_S14,PP,PP_2,Fragment,16937.76,595.564,244.306,2414,4572.4,54.462,118.277,TS
120,TS_S14,PS,PS_1,Fragment,4032.8,217.455,102.398,8804,4941.6,123.69,56.8,TS
121,LFS_Y3_S03,PET,PET_1,Fibre,20970.56,722.429,722.429,5254,7185.2,46.637,75.043,LFS
122,LFS_Y3_S03,PP,PP_1,Fragment,2419.68,193.927,89.809,3862.4,1533.6,108.435,28.4,LFS
