Pkey,CSV,SC_ID,Region,GLG,Weight,d15N,d13C,N_per,C_per,YOB,CalenderYear
95,20160920.csv,HKSC132405,HK,10,1.514,13.7,-16.9,2.7,7.6,1997,2007
96,20160920.csv,HKSC132405,HK,11,1.821,13.4,-16.9,1.2,3.5,1997,2008
97,20160920.csv,HKSC132405,HK,12,0.468,12.4,-16.7,2.8,7.9,1997,2009
98,20160920.csv,HKSC132405,HK,13,0.438,11.7,-17.1,2.9,8.6,1997,2010
99,20170412.csv,HKSC102706,HK,1,2.322,16.5,-16.9,2.84,10.13,1994,1995
100,20170412.csv,HKSC102706,HK,2,2.491,14.5,-17.4,2.35,8.75,1994,1996
101,20170412.csv,HKSC102706,HK,3,2.231,13.7,-18.6,2.54,9.63,1994,1997
102,20170412.csv,HKSC102706,HK,4,2.231,13.5,-18.6,1.84,7.18,1994,1998
103,20170412.csv,HKSC102706,HK,5,1.633,13.5,-18.6,2.69,10.56,1994,1999
104,20170412.csv,HKSC102706,HK,6,1.223,13.3,-18.7,2.7,10.38,1994,2000
105,20170412.csv,HKSC102706,HK,7,0.998,13.6,-18.2,2.87,10.64,1994,2001
106,20170412.csv,HKSC102706,HK,8,1.082,13.8,-18.6,2.95,10.96,1994,2002
107,20170412.csv,HKSC102706,HK,9,1.059,13.7,-18.4,2.92,10.83,1994,2003
108,20170412.csv,HKSC102706,HK,10,0.659,13.1,-18.7,3.14,12.08,1994,2004
109,20170412.csv,HKSC102706,HK,11,0.76,13.8,-18.8,3.14,11.78,1994,2005
110,20170412.csv,HKSC102706,HK,12,0.727,13.6,-18.1,3.18,11.2,1994,2006
111,20170412.csv,HKSC102706,HK,13,0.472,13,-18.1,3.19,11.21,1994,2007
112,20170412.csv,HKSC143004,HK,1,2.195,19.7,-21.1,2.17,9.26,2012,2013
113,20170412.csv,HKSC143004,HK,2,1.277,18.2,-20,2.83,11.02,2012,2014
114,20170906.csv,HKSC142408,HK,1,1.12,14.4,-20.3,1.3,6,1992,1993
115,20170906.csv,HKSC142408,HK,2,1.01,14.1,-19.9,1.5,6.2,1992,1994
116,20170906.csv,HKSC142408,HK,3,1,13,-18.2,1.7,5.9,1992,1995
117,20170906.csv,HKSC142408,HK,4,0.8,12.8,-19.3,1.6,6.3,1992,1996
118,20170906.csv,HKSC142408,HK,5,0.751,12,-18.5,1.9,7.1,1992,1997
119,20170906.csv,HKSC142408,HK,6,0.569,11.3,-17.7,1.9,7,1992,1998
120,20170906.csv,HKSC142408,HK,7,0.726,12.1,-18.5,1.4,5.6,1992,1999
121,20170906.csv,HKSC142408,HK,8,0.658,11.3,-18.6,1.7,6.6,1992,2000
122,20170906.csv,HKSC142408,HK,10,0.82,11.9,-18.4,1.7,6.3,1992,2002
123,20170906.csv,HKSC142408,HK,11,0.815,13.1,-19,1.6,6.4,1992,2003
124,20170906.csv,HKSC142408,HK,12,0.654,11.8,-18.8,1.5,6.1,1992,2004
125,20170906.csv,HKSC142408,HK,13,0.734,12.4,-18.8,1.8,7,1992,2005
126,20170906.csv,HKSC142408,HK,14,0.724,12.5,-18.4,1.8,7,1992,2006
127,20170906.csv,HKSC142408,HK,15,1.278,13.4,-18.3,1.8,6.9,1992,2007
128,20170906.csv,HKSC151601,HK,1,1.848,15.2,-15.6,2,5.5,2000,2001
129,20170906.csv,HKSC151601,HK,2,0.98,13.3,-15.8,1.8,4.6,2000,2002
130,20170906.csv,HKSC151601,HK,3,1.086,13.2,-15.2,2,5.3,2000,2003
131,20170906.csv,HKSC151601,HK,4,1.099,13.6,-17.1,1.6,5.3,2000,2004
132,20170906.csv,HKSC151601,HK,5,1.083,13.2,-16.8,2.2,6.7,2000,2005
133,20170906.csv,HKSC151601,HK,6,1.384,16.4,-17.4,1.6,6.2,2000,2006
134,20170906.csv,HKSC151601,HK,7,1.318,14.2,-18,1.9,6.9,2000,2007
135,20170906.csv,HKSC151601,HK,8,1.432,14.3,-19,1.8,7,2000,2008
136,20170906.csv,HKSC151601,HK,9,1.197,14.2,-18.4,1.9,6.9,2000,2009
137,20170906.csv,HKSC151601,HK,10,0.618,13.4,-17.1,2.4,7.6,2000,2010
138,20170906.csv,HKSC151601,HK,11,1.056,13.9,-18,2,7,2000,2011
139,20170906.csv,HKSC151601,HK,12,1.274,13.9,-16.3,2,6.4,2000,2012
140,20170906.csv,HKSC151601,HK,13,1.614,14,-17.3,2,6.6,2000,2013
141,20170908.csv,HKSC101908,HK,1,0.672,13.9,-14.9,2.3,6,1992,1993
142,20170908.csv,HKSC101908,HK,2,0.627,11.8,-14.9,2.3,5.8,1992,1994
143,20170908.csv,HKSC101908,HK,3,0.729,12.3,-14.5,2.3,6,1992,1995
144,20170908.csv,HKSC101908,HK,4,0.803,12.5,-14.6,2.2,5.8,1992,1996
145,20170908.csv,HKSC101908,HK,5,0.602,12.3,-14.6,2.3,6,1992,1997
146,20170908.csv,HKSC101908,HK,6,0.609,10.4,-14.6,2.7,6.2,1992,1998
147,20170908.csv,HKSC101908,HK,7,0.803,13.7,-15.3,2.3,6.2,1992,1999
